baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
4.0	3	Catawba	[u'Baths: 3 full, 1 half', u'Lot: 0.52 acres', u'Single Family', u'Built in 2004', u'All time views: 1,518', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $574,000', u'Last sale price/sqft: $126', u'1700 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 572 sqft garage', u'Partial basement', u'Patio', u'Porch', u'Security System', u'View: Water', u'Waterfront', u'Wet Bar', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Recreation room', u'Sun room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 4,558 sqft', u'Heating: Propane butane', u'Parcel #: 4710034256200000', u'Zillow Home ID: 71557378']	http://photos2.zillowstatic.com/p_e/ISph2jmliqdqeq0000000000.jpg	574000.0	[]	4558.0	NC	466734.0	28609	71557378
1.0	2	Catawba	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1940', u'All time views: 611', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $113,500', u'Last sale price/sqft: $91', u'Fireplace', u'Parking: 2 spaces', u'Patio', u'Porch', u'Room count: 5', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,246 sqft', u'Parcel #: 3782142258830000', u'Zillow Home ID: 71901124']	http://photos2.zillowstatic.com/p_e/IS1n28qxsurz4n1000000000.jpg	113500.0	[]	1246.0	NC	94163.0	28609	71901124
2.0	3	Catawba	[u'Lot: 2.59 acres', u'Single Family', u'Built in 1960', u'All time views: 1,577', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $94,000', u'Last sale price/sqft: $51', u'Fireplace', u'Parking: Garage - Attached, 552 sqft garage', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,858 sqft', u'Parcel #: 3689010852780000', u'Zillow Home ID: 71932667']	http://photos1.zillowstatic.com/p_e/IS-1f5dpperzrgwt.jpg	94000.0	[]	1858.0	NC	146350.0	28609	71932667
1.0	1	Catawba	[u'Lot: 0.89 acres', u'Single Family', u'Built in 1930', u'All time views: 1,834', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $53,000', u'Last sale price/sqft: $46', u'Deck', u'Flooring: Hardwood, Linoleum / Vinyl', u'Driveway: Gravel', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: Cash', u'Listing Financing: Conventional', u'Laundry Location: Closet', u'Laundry Location: 1st Floor', u'Equipment: None', u'Property Sub Type: 1 Story', u'Sewer: Septic Tank', u'Water: Well', u'Parking: Parking Space - 3+', u'Driveway: Circular', u'Exterior material: Vinyl', u'Room count: 4', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,156 sqft', u'Parcel #: 3791031308560000', u'Zillow Home ID: 71549040']	http://photos1.zillowstatic.com/p_e/ISdcyqhr1jsyx01000000000.jpg	53000.0	[]	1156.0	NC	67971.0	28609	71549040
2.0	3	Catawba	[u'Lot: 0.5 acres', u'Single Family', u'Built in 2004', u'All time views: 3,625', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Feb 2016 for $167,000', u'Last sale price/sqft: $131', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Laundry Location: 1st Floor', u'Property Sub Type: 1 Story Basement', u'Driveway: Concrete', u'Fenced Yard', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Parking: Garage - 2 Car', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,277 sqft', u'Lot depth: 218 ft', u'Lot width: 100 ft', u'Parcel #: 3689026795100000', u'Zillow Home ID: 71939039']	http://photos2.zillowstatic.com/p_e/ISh7p76rrbyps70000000000.jpg	167000.0	[]	1277.0	NC	165584.0	28609	71939039
1.0	3	Catawba	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1966', u'All time views: 483', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $102,000', u'Last sale price/sqft: $100', u'Ceiling Fan', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport, 2 spaces', u'Range / Oven', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,025 sqft', u'Lot depth: 200 ft', u'Lot width: 100 ft', u'Parcel #: 3679046392050000', u'Zillow Home ID: 71956007']	http://photos2.zillowstatic.com/p_e/IShj2ikvrkt41c0000000000.jpg	102000.0	[]	1025.0	NC	84375.0	28609	71956007
1.0	2	Catawba	[u'Lot: 0.86 acres', u'Single Family', u'Built in 1978', u'All time views: 1,938', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Aug 2016 for $99,000', u'Last sale price/sqft: $127', u'Cable Ready', u'Ceiling Fan', u'Flooring: Laminate, Tile', u'Parking: Garage - Attached, 2 spaces, 480 sqft garage', u'View: Mountain', u'Equipment: Hood', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Driveway: Asphalt', u'Listing Financing: FMHA', u'Corner Lot', u'Equipment: Electric Dryer Hookup', u'Attic Other', u'Laundry Location: 1st Floor', u'Doors Windows: Storm Door(s)', u'Property Sub Type: 1 Story', u'Sewer: Septic Tank', u'Water: Well', u'Zoning: Residential', u'Doors Windows: Storm Window(s)', u'Architectural Style: Ranch', u'Parking: Garage - 2 Car', u'Level', u'Trees', u'Flooring: Tile', u'Construction Type: Site Built', u'Listing Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 777 sqft', u'Last remodel year: 2006', u'Lot depth: 210 ft', u'Lot width: 162 ft', u'Parcel #: 4700025663300000', u'Zillow Home ID: 71936424']	http://photos2.zillowstatic.com/p_e/ISd8jcpms45whl1000000000.jpg	99000.0	[]	777.0	NC	72904.0	28609	71936424
2.0	3	Catawba	[u'Lot: 0.48 acres', u'Single Family', u'Built in 2011', u'All time views: 2,757', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $170,000', u'Last sale price/sqft: $120', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 490 sqft garage', u'Porch', u'Vaulted Ceiling', u'Room count: 6', u'Stories: 1', u'Floor size: 1,413 sqft', u'Lot depth: 200 ft', u'Lot width: 110 ft', u'Parcel #: 3780045332220000', u'Zillow Home ID: 98198843']	http://photos1.zillowstatic.com/p_e/ISletyo7amp5zb0000000000.jpg	170000.0	[]	1413.0	NC	166720.0	28609	98198843
3.0	4	Catawba	[u'Lot: 0.86 acres', u'Single Family', u'Built in 2006', u'All time views: 4,306', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $545,000', u'Last sale price/sqft: $201', u'Fireplace', u'Parking: Garage - Attached, 712 sqft garage', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,714 sqft', u'Parcel #: 4710014561210000', u'Zillow Home ID: 71553675']	http://photos2.zillowstatic.com/p_e/ISptbidhab1h081000000000.jpg	545000.0	[]	2714.0	NC	534002.0	28609	71553675
3.0	4	Catawba	[u'Baths: 2 full, 1 half', u'Lot: 3.86 acres', u'Single Family', u'Built in 1904', u'All time views: 6,653', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $230,000', u'Last sale price/sqft: $88', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Garden', u'Intercom', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Carport, Garage - Detached, 2 spaces, 480 sqft garage', u'Partial basement', u'Porch', u'Security System', u'View: Park', u'Driveway: Gravel', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Ice Maker Connection', u'Equipment: Electric Dryer Hookup', u'Equipment: Self Cleaning Oven', u'Laundry Location: 1st Floor', u'Property Sub Type: 2 Story', u'Fireplace Description: Other', u'Architectural Style: Traditional', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Laundry Location: Laundry Room', u'None', u'Outbuilding', u'Kitchen Island', u'Built-Ins', u'Flooring: Tile', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Metal', u'Roof type: Metal', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,606 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1990', u'Laundry: In Unit', u'Parcel #: 4700048376440000', u'Zillow Home ID: 71932405']	http://photos3.zillowstatic.com/p_e/ISt82g275csbwc0000000000.jpg	230000.0	[]	2606.0	NC	231706.0	28609	71932405
1.0	2	Catawba	[u'Lot: 1.48 acres', u'Single Family', u'Built in 1895', u'All time views: 1,526', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $67,500', u'Last sale price/sqft: $65', u'Deck', u'Porch', u'Laundry on Main', u'Water-Lake: None', u'Water: Septic Tank', u'Other Room 1: Laundry', u'County: Catawba', u'Style: Ranch', u'Water: Well', u'Type: Stick Built', u'Available for Rent (Y: Yes', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 1,046 sqft', u'Parcel #: 4700049235660000', u'Zillow Home ID: 71905391']	http://photos3.zillowstatic.com/p_e/ISuctfn12yysk61000000000.jpg	67500.0	[]	1046.0	NC	100138.0	28609	71905391
4.0	3	Catawba	[u'Baths: 3 full, 1 half', u'Lot: 0.52 acres', u'Single Family', u'Built in 2004', u'All time views: 1,519', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $574,000', u'Last sale price/sqft: $126', u'1700 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 572 sqft garage', u'Partial basement', u'Patio', u'Porch', u'Security System', u'View: Water', u'Waterfront', u'Wet Bar', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Recreation room', u'Sun room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 4,558 sqft', u'Heating: Propane butane', u'Parcel #: 4710034256200000', u'Zillow Home ID: 71557378']	http://photos2.zillowstatic.com/p_e/ISph2jmliqdqeq0000000000.jpg	574000.0	[]	4558.0	NC	466734.0	28609	71557378
1.0	2	Catawba	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1940', u'All time views: 612', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $113,500', u'Last sale price/sqft: $91', u'Fireplace', u'Parking: 2 spaces', u'Patio', u'Porch', u'Room count: 5', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,246 sqft', u'Parcel #: 3782142258830000', u'Zillow Home ID: 71901124']	http://photos2.zillowstatic.com/p_e/IS1n28qxsurz4n1000000000.jpg	113500.0	[]	1246.0	NC	94163.0	28609	71901124
2.0	3	Catawba	[u'Lot: 2.59 acres', u'Single Family', u'Built in 1960', u'All time views: 1,578', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $94,000', u'Last sale price/sqft: $51', u'Fireplace', u'Parking: Garage - Attached, 552 sqft garage', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,858 sqft', u'Parcel #: 3689010852780000', u'Zillow Home ID: 71932667']	http://photos1.zillowstatic.com/p_e/IS-1f5dpperzrgwt.jpg	94000.0	[]	1858.0	NC	146350.0	28609	71932667
1.0	1	Catawba	[u'Lot: 0.89 acres', u'Single Family', u'Built in 1930', u'All time views: 1,835', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $53,000', u'Last sale price/sqft: $46', u'Deck', u'Flooring: Hardwood, Linoleum / Vinyl', u'Driveway: Gravel', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: Cash', u'Listing Financing: Conventional', u'Laundry Location: Closet', u'Laundry Location: 1st Floor', u'Equipment: None', u'Property Sub Type: 1 Story', u'Sewer: Septic Tank', u'Water: Well', u'Parking: Parking Space - 3+', u'Driveway: Circular', u'Exterior material: Vinyl', u'Room count: 4', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,156 sqft', u'Parcel #: 3791031308560000', u'Zillow Home ID: 71549040']	http://photos1.zillowstatic.com/p_e/ISdcyqhr1jsyx01000000000.jpg	53000.0	[]	1156.0	NC	67971.0	28609	71549040
2.0	3	Catawba	[u'Lot: 0.5 acres', u'Single Family', u'Built in 2004', u'All time views: 3,626', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Feb 2016 for $167,000', u'Last sale price/sqft: $131', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Laundry Location: 1st Floor', u'Property Sub Type: 1 Story Basement', u'Driveway: Concrete', u'Fenced Yard', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Parking: Garage - 2 Car', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,277 sqft', u'Lot depth: 218 ft', u'Lot width: 100 ft', u'Parcel #: 3689026795100000', u'Zillow Home ID: 71939039']	http://photos2.zillowstatic.com/p_e/ISh7p76rrbyps70000000000.jpg	167000.0	[]	1277.0	NC	165584.0	28609	71939039
1.0	3	Catawba	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1966', u'All time views: 484', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $102,000', u'Last sale price/sqft: $100', u'Ceiling Fan', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport, 2 spaces', u'Range / Oven', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,025 sqft', u'Lot depth: 200 ft', u'Lot width: 100 ft', u'Parcel #: 3679046392050000', u'Zillow Home ID: 71956007']	http://photos2.zillowstatic.com/p_e/IShj2ikvrkt41c0000000000.jpg	102000.0	[]	1025.0	NC	84375.0	28609	71956007
1.0	2	Catawba	[u'Lot: 0.86 acres', u'Single Family', u'Built in 1978', u'All time views: 1,939', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Aug 2016 for $99,000', u'Last sale price/sqft: $127', u'Cable Ready', u'Ceiling Fan', u'Flooring: Laminate, Tile', u'Parking: Garage - Attached, 2 spaces, 480 sqft garage', u'View: Mountain', u'Equipment: Hood', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Driveway: Asphalt', u'Listing Financing: FMHA', u'Corner Lot', u'Equipment: Electric Dryer Hookup', u'Attic Other', u'Laundry Location: 1st Floor', u'Doors Windows: Storm Door(s)', u'Property Sub Type: 1 Story', u'Sewer: Septic Tank', u'Water: Well', u'Zoning: Residential', u'Doors Windows: Storm Window(s)', u'Architectural Style: Ranch', u'Parking: Garage - 2 Car', u'Level', u'Trees', u'Flooring: Tile', u'Construction Type: Site Built', u'Listing Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 777 sqft', u'Last remodel year: 2006', u'Lot depth: 210 ft', u'Lot width: 162 ft', u'Parcel #: 4700025663300000', u'Zillow Home ID: 71936424']	http://photos2.zillowstatic.com/p_e/ISd8jcpms45whl1000000000.jpg	99000.0	[]	777.0	NC	72904.0	28609	71936424
2.0	3	Catawba	[u'Lot: 0.48 acres', u'Single Family', u'Built in 2011', u'All time views: 2,758', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $170,000', u'Last sale price/sqft: $120', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 490 sqft garage', u'Porch', u'Vaulted Ceiling', u'Room count: 6', u'Stories: 1', u'Floor size: 1,413 sqft', u'Lot depth: 200 ft', u'Lot width: 110 ft', u'Parcel #: 3780045332220000', u'Zillow Home ID: 98198843']	http://photos1.zillowstatic.com/p_e/ISletyo7amp5zb0000000000.jpg	170000.0	[]	1413.0	NC	166720.0	28609	98198843
3.0	4	Catawba	[u'Lot: 0.86 acres', u'Single Family', u'Built in 2006', u'All time views: 4,307', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $545,000', u'Last sale price/sqft: $201', u'Fireplace', u'Parking: Garage - Attached, 712 sqft garage', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,714 sqft', u'Parcel #: 4710014561210000', u'Zillow Home ID: 71553675']	http://photos2.zillowstatic.com/p_e/ISptbidhab1h081000000000.jpg	545000.0	[]	2714.0	NC	534002.0	28609	71553675
3.0	4	Catawba	[u'Baths: 2 full, 1 half', u'Lot: 3.86 acres', u'Single Family', u'Built in 1904', u'All time views: 6,654', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $230,000', u'Last sale price/sqft: $88', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Garden', u'Intercom', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Carport, Garage - Detached, 2 spaces, 480 sqft garage', u'Partial basement', u'Porch', u'Security System', u'View: Park', u'Driveway: Gravel', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Ice Maker Connection', u'Equipment: Electric Dryer Hookup', u'Equipment: Self Cleaning Oven', u'Laundry Location: 1st Floor', u'Property Sub Type: 2 Story', u'Fireplace Description: Other', u'Architectural Style: Traditional', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Laundry Location: Laundry Room', u'None', u'Outbuilding', u'Kitchen Island', u'Built-Ins', u'Flooring: Tile', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Metal', u'Roof type: Metal', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,606 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1990', u'Laundry: In Unit', u'Parcel #: 4700048376440000', u'Zillow Home ID: 71932405']	http://photos3.zillowstatic.com/p_e/ISt82g275csbwc0000000000.jpg	230000.0	[]	2606.0	NC	231706.0	28609	71932405
1.0	2	Catawba	[u'Lot: 1.48 acres', u'Single Family', u'Built in 1895', u'All time views: 1,527', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $67,500', u'Last sale price/sqft: $65', u'Deck', u'Porch', u'Laundry on Main', u'Water-Lake: None', u'Water: Septic Tank', u'Other Room 1: Laundry', u'County: Catawba', u'Style: Ranch', u'Water: Well', u'Type: Stick Built', u'Available for Rent (Y: Yes', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 1,046 sqft', u'Parcel #: 4700049235660000', u'Zillow Home ID: 71905391']	http://photos3.zillowstatic.com/p_e/ISuctfn12yysk61000000000.jpg	67500.0	[]	1046.0	NC	100138.0	28609	71905391
4.0	3	Catawba	[u'Baths: 3 full, 1 half', u'Lot: 0.52 acres', u'Single Family', u'Built in 2004', u'All time views: 1,520', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $574,000', u'Last sale price/sqft: $126', u'1700 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 572 sqft garage', u'Partial basement', u'Patio', u'Porch', u'Security System', u'View: Water', u'Waterfront', u'Wet Bar', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Recreation room', u'Sun room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 4,558 sqft', u'Heating: Propane butane', u'Parcel #: 4710034256200000', u'Zillow Home ID: 71557378']	http://photos2.zillowstatic.com/p_e/ISph2jmliqdqeq0000000000.jpg	574000.0	[]	4558.0	NC	466734.0	28609	71557378
1.0	2	Catawba	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1940', u'All time views: 613', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $113,500', u'Last sale price/sqft: $91', u'Fireplace', u'Parking: 2 spaces', u'Patio', u'Porch', u'Room count: 5', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,246 sqft', u'Parcel #: 3782142258830000', u'Zillow Home ID: 71901124']	http://photos2.zillowstatic.com/p_e/IS1n28qxsurz4n1000000000.jpg	113500.0	[]	1246.0	NC	94163.0	28609	71901124
2.0	3	Catawba	[u'Lot: 2.59 acres', u'Single Family', u'Built in 1960', u'All time views: 1,579', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $94,000', u'Last sale price/sqft: $51', u'Fireplace', u'Parking: Garage - Attached, 552 sqft garage', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,858 sqft', u'Parcel #: 3689010852780000', u'Zillow Home ID: 71932667']	http://photos1.zillowstatic.com/p_e/IS-1f5dpperzrgwt.jpg	94000.0	[]	1858.0	NC	146350.0	28609	71932667
1.0	1	Catawba	[u'Lot: 0.89 acres', u'Single Family', u'Built in 1930', u'All time views: 1,836', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $53,000', u'Last sale price/sqft: $46', u'Deck', u'Flooring: Hardwood, Linoleum / Vinyl', u'Driveway: Gravel', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: Cash', u'Listing Financing: Conventional', u'Laundry Location: Closet', u'Laundry Location: 1st Floor', u'Equipment: None', u'Property Sub Type: 1 Story', u'Sewer: Septic Tank', u'Water: Well', u'Parking: Parking Space - 3+', u'Driveway: Circular', u'Exterior material: Vinyl', u'Room count: 4', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,156 sqft', u'Parcel #: 3791031308560000', u'Zillow Home ID: 71549040']	http://photos1.zillowstatic.com/p_e/ISdcyqhr1jsyx01000000000.jpg	53000.0	[]	1156.0	NC	67971.0	28609	71549040
2.0	3	Catawba	[u'Lot: 0.5 acres', u'Single Family', u'Built in 2004', u'All time views: 3,627', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Feb 2016 for $167,000', u'Last sale price/sqft: $131', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Laundry Location: 1st Floor', u'Property Sub Type: 1 Story Basement', u'Driveway: Concrete', u'Fenced Yard', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Parking: Garage - 2 Car', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,277 sqft', u'Lot depth: 218 ft', u'Lot width: 100 ft', u'Parcel #: 3689026795100000', u'Zillow Home ID: 71939039']	http://photos2.zillowstatic.com/p_e/ISh7p76rrbyps70000000000.jpg	167000.0	[]	1277.0	NC	165584.0	28609	71939039
1.0	3	Catawba	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1966', u'All time views: 485', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $102,000', u'Last sale price/sqft: $100', u'Ceiling Fan', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport, 2 spaces', u'Range / Oven', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,025 sqft', u'Lot depth: 200 ft', u'Lot width: 100 ft', u'Parcel #: 3679046392050000', u'Zillow Home ID: 71956007']	http://photos2.zillowstatic.com/p_e/IShj2ikvrkt41c0000000000.jpg	102000.0	[]	1025.0	NC	84375.0	28609	71956007
