baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	4	Columbia	[u'Lot: 0.33 acres', u'Single Family', u'Built in 2007', u'All time views: 1,525', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2014 for $71,000', u'Last sale price/sqft: $42', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Parking: None', u'Porch', u'Vaulted Ceiling', u'Water Heater: Electric', u'Sewer: City Sewer', u'Foundation: Pilings', u'Water: City Water', u'Rooms: Living Room', u'Rooms: Kitchen', u'Location Description: Under 1 acre', u'Drive: Concrete', u'Storage Building', u'Large Master Bedroom', u'Underground Utilities', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Location Description: None', u'Appliances: Oven-Electric', u'Water Desc: Other', u'Laminated Counter Tops', u'County: Tyrrell', u'Type & Style: Other', u'Reversed Floor Plan', u'Dishwasher', u'Microwave', u'Refrigerator', u'Washer', u'Dining room', u'Roof type: Composition', u'Floor size: 1,686 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2099558276']	http://photos1.zillowstatic.com/p_e/ISu86r5gc09z2f1000000000.jpg	71000.0	[]	1686.0	NC	0.0	27925	2099558276
2.0	4	Columbia	[u'Lot: 1.29 acres', u'Single Family', u'Built in 1975', u'All time views: 2,385', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2014 for $75,000', u'Last sale price/sqft: $55', u'Parking: Off street, 1600 sqft garage', u'Exterior material: Other', u'Foundation type: Retaining Wall', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Floor size: 1,368 sqft', u'Parcel #: T094 01 011', u'Zillow Home ID: 107064667']	http://photos2.zillowstatic.com/p_e/ISt8mvnl9cuhpi1000000000.jpg	75000.0	[]	1368.0	NC	161466.0	27925	107064667
2.0	3	Columbia	[u'Lot: 2.55 acres', u'Single Family', u'Built in 1947', u'All time views: 865', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2013 for $90,000', u'Last sale price/sqft: $53', u'Parking: Off street, 400 sqft garage', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,689 sqft', u'Parcel #: T094 01 006', u'Zillow Home ID: 107064673']	http://photos1.zillowstatic.com/p_e/IS-nwcypuauq44d.jpg	90000.0	[]	1689.0	NC	165738.0	27925	107064673
2.0	2	Columbia	[u'Lot: 0.73 acres', u'Single Family', u'Built in 1971', u'All time views: 624', u'Cooling: None', u'Heating: Baseboard', u'Last sold: Aug 2013 for $100,100', u'Last sale price/sqft: $67', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,500 sqft', u'Parcel #: T053 01 083', u'Zillow Home ID: 107064525']	http://photos3.zillowstatic.com/p_e/ISh7d6hp8bsl2f1000000000.jpg	100100.0	[]	1500.0	NC	117677.0	27925	107064525
2.0	3	Columbia	"[u'Lot: 0.75 acres', u'Single Family', u'Built in 2008', u'All time views: 579', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $145,000', u'Last sale price/sqft: $70', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water: County Water', u'Roof: Architectural', u'Type & Style: One Story', u'Type & Style: Traditional', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u""9' Ceilings"", u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Water Heater: Propane', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Garage: Garage-None', u'Storm Doors', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Attic: Permanent Stairs', u'Appliances: Oven-Electric', u'Rooms: Utility Room', u'Appliances: Hood', u'Attic: Expandable', u'County: Tyrrell', u'Water Heater: Other', u'Modular: Off Frame Modular', u'Dishwasher', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,070 sqft', u'Parcel #: T072 01 041', u'Zillow Home ID: 126135437']"	http://photos2.zillowstatic.com/p_e/ISt8yw843ns65q1000000000.jpg	145000.0	[]	2070.0	NC	0.0	27925	126135437
2.0	3	Columbia	[u'Lot: 8,899 sqft', u'Single Family', u'Built in 1975', u'All time views: 5,529', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Aug 2016 for $290,000', u'Last sale price/sqft: $172', u'Ceiling Fan', u'Dock', u'Fireplace', u'Flooring: Carpet, Tile', u'Furnished', u'Parking: Garage - Attached, 400 sqft garage', u'Patio', u'Porch', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Yearly Income Act: Estimated', u'CONSTRUCTION: Wood', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'CONSTRUCTION: Frame', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'FLOOD ZONE: AE', u'INTERIOR FEATURES: Master Bath', u'OPTIONAL ROOMS: Workshop', u'PARKING: Off Street', u'VIEW DESCRIPTION: Sound', u'Primary Residence (Y: Yes', u'Subdivision: None', u'EXTRAS: Boat Lift', u'SEWER: Private Septic', u'GARAGE: 1 Car', u'EXTRAS: Fenced Yard', u'OPTIONAL ROOMS: Florida  Room', u'Area: Tyrrell County', u'County: Tyrrell', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Slab', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,690 sqft', u'Laundry: In Unit', u'Parcel #: T049 02 031', u'Zillow Home ID: 107064426']	http://photos1.zillowstatic.com/p_e/ISxn4vovqbkqqn0000000000.jpg	290000.0	[]	1690.0	NC	241104.0	27925	107064426
2.0	3	Columbia	[u'Lot: 8,298 sqft', u'Single Family', u'Built in 1974', u'114 days on Zillow', u'Views since listing: 2,500', u'All time views: 5,881', u'11 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $247,000', u'Last sale price/sqft: $216', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Hot Tub/Spa', u'Jetted Tub', u'Lawn', u'Parking: Carport, Off street, 3 spaces', u'Patio', u'Porch', u'Storage', u'View: Water', u'Waterfront', u'For Sale By Owner!', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,144 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2012', u'Laundry: In Unit', u'Parcel #: T049 02 023', u'Zillow Home ID: 107064421']	http://photos1.zillowstatic.com/p_e/IS1voivs8nyljm1000000000.jpg	247000.0	[]	1144.0	NC	159935.0	27925	107064421
2.0	3	Columbia	[u'Lot: 0.43 acres', u'Single Family', u'Built in 2000', u'All time views: 1,356', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Apr 2016 for $157,500', u'Last sale price/sqft: $114', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: None', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Rooms: Great Room', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Location Description: Under 1 acre', u'Storage Building', u'Large Master Bedroom', u'Water Desc: Bulkhead', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Water Desc: Pier', u'Storm Doors', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Modular: Multi Section Manufacture', u'County: Tyrrell', u'Chain Link Fence', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,380 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2099871780']	http://photos3.zillowstatic.com/p_e/IS9t0tkgcbz5n40000000000.jpg	157500.0	[]	1380.0	NC	0.0	27925	2099871780
2.5	3	Columbia	[u'Baths: 2 full, 1 half', u'Lot: 0.75 acres', u'Single Family', u'Built in 2001', u'All time views: 2,471', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Mar 2016 for $86,000', u'Last sale price/sqft: $47', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Carport', u'Porch', u'Water Heater: Electric', u'Ownership Rights: Bank Owned', u'Construction: Aluminum Siding', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Two Stories', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Water: Well Water', u'Garage: Garage-None', u'Attic: Access Only', u'Appliances: None', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Location Description: None', u'Drive: Gravel', u'Heating System: Other', u'County: Tyrrell', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl, Wood', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Room count: 5', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 1,848 sqft', u'Heating: Electric, Gas', u'Laundry: Shared', u'Parcel #: T100 01 064', u'Zillow Home ID: 113761960']	http://photos2.zillowstatic.com/p_e/ISphusofkwrftt1000000000.jpg	86000.0	[]	1848.0	NC	193835.0	27925	113761960
1.0	2	Columbia	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1962', u'All time views: 2,702', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $48,100', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Owner Acc Financing: USDA', u'Location Description: Horses Permitted', u'Laminated Counter Tops', u'County: Tyrrell', u'Flood Zone: Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,020 sqft', u'Heating: Electric', u'Parcel #: T151 01 018', u'Zillow Home ID: 113761975']	http://photos3.zillowstatic.com/p_e/IStgw486aa6bq40000000000.jpg	48100.0	[]	1020.0	NC	94024.0	27925	113761975
2.5	2	Columbia	[u'Lot: 1 acre', u'Single Family', u'Built in 1994', u'All time views: 3,769', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Nov 2015 for $12,000', u'Last sale price/sqft: $7', u'Fireplace', u'Flooring: Carpet', u'Parking: Carport, 1200 sqft garage', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Location Description: 1- 3 acres', u'Drive: Dirt', u'Workshop', u'Construction: Other', u'Modular: Multi Section Manufacture', u'County: Tyrrell', u'Modular: Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,782 sqft', u'Heating: Gas', u'Parcel #: T156 01 010', u'Zillow Home ID: 107064127']	http://photos2.zillowstatic.com/p_e/ISphmmaeayrz4z0000000000.jpg	12000.0	[]	1782.0	NC	109104.0	27925	107064127
2.0	3	Columbia	[u'Lot: 1.3 acres', u'Single Family', u'Built in 2002', u'All time views: 11,893', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $200,000', u'Last sale price/sqft: $123', u'Ceiling Fan', u'Deck', u'Dock', u'Fireplace', u'Flooring: Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Garage - Detached, 1 space, 600 sqft garage', u'Patio', u'Porch', u'View: Water', u'Waterfront', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Storage Building', u'Water Desc: Water Access', u'Water Desc: Bulkhead', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Modular: On Frame Modular', u'Location Description: 1- 3 acres', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Workshop', u'Drive: Gravel', u'Appliances: Hood', u'County: Tyrrell', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,620 sqft', u'Heating: Electric, Other', u'Laundry: In Unit', u'Parcel #: T117 01 026', u'Zillow Home ID: 107064081']	http://photos2.zillowstatic.com/p_e/IS1jzy589zjfxf0000000000.jpg	200000.0	[]	1620.0	NC	275228.0	27925	107064081
2.5	3	Columbia	[u'Baths: 2 full, 1 half', u'Lot: 5.79 acres', u'Single Family', u'Built in 1990', u'All time views: 4,532', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $260,000', u'Last sale price/sqft: $163', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport', u'Waterfront', u'Water Heater: Electric', u'Water: County Water', u'Foundation: Pilings', u'Rooms: Living Room', u'Storage Building', u'Water Desc: Bulkhead', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Location Description: Wooded Lot', u'Water Desc: Boat Lift', u'Construction: Frame', u'Water Desc: Pier', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Appliances: Oven-Electric', u'Drive: Gravel', u'Appliances: Jenn-Aire Type', u'Location Description: 3.1-10 acres', u'County: Tyrrell', u'Type & Style: Other', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Piling', u'Roof type: Metal', u'Room count: 6', u'Stories: 1', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 1,594 sqft', u'Heating: Electric', u'Laundry: In Unit, Shared', u'Parcel #: T117 01 065', u'Zillow Home ID: 107064087']	http://photos2.zillowstatic.com/p_e/ISd0prabb75oqo0000000000.jpg	260000.0	[]	1594.0	NC	339296.0	27925	107064087
2.0	3	Columbia	[u'Lot: 2 acres', u'Single Family', u'Built in 1979', u'15 days on Zillow', u'Views since listing: 1,519', u'All time views: 1,586', u'14 shoppers saved this home', u'Cooling: Central', u'Heating: Baseboard, Heat pump', u'Last sold: Oct 2015 for $40,000', u'Last sale price/sqft: $31', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Laminate, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Off street', u'Porch', u'Dishwasher', u'Range / Oven', u'Dining room', u'Laundry room', u'Master bath', u'Sun room', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,281 sqft', u'Heating: Propane butane', u'Parcel #: T051 01 014', u'Zillow Home ID: 121473639']	http://photos3.zillowstatic.com/p_e/ISqp8xzkgsqk7m1000000000.jpg	40000.0	[]	1281.0	NC	0.0	27925	121473639
2.0	3	Columbia	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1989', u'All time views: 1,334', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $13,250', u'Last sale price/sqft: $10', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Drive: Dirt', u'Appliances: Other', u'Heating System: Other', u'Air Conditioning: Other', u'Modular: Multi Section Manufacture', u'County: Tyrrell', u'Water Heater: Other', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Floor size: 1,296 sqft', u'Laundry: Shared', u'Parcel #: T171 01 061', u'Zillow Home ID: 113761998']	http://photos3.zillowstatic.com/p_e/IS52lvhoj7wzju0000000000.jpg	13250.0	[]	1296.0	NC	97941.0	27925	113761998
2.0	3	Columbia	[u'Lot: 3.04 acres', u'Single Family', u'Built in 1997', u'All time views: 6,851', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2015 for $251,000', u'Last sale price/sqft: $134', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Hot Tub/Spa', u'Parking: Garage - Attached, Garage - Detached, 2 spaces', u'Porch', u'Waterfront', u'Water Heater: Electric', u'Water: County Water', u'Rooms: Great Room', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Storage Building', u'Large Master Bedroom', u'Water Desc: Bulkhead', u'Gas Logs (Propane)', u'Type & Style: Raised Ranch', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Location Description: 1- 3 acres', u'Water Desc: Boat Lift', u'Construction: Frame', u'Water Desc: Pier', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Drive: Gravel', u'Laminated Counter Tops', u'County: Tyrrell', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,876 sqft', u'Heating: Electric', u'Laundry: In Unit, Shared', u'Zillow Home ID: 2131045331']	http://photos1.zillowstatic.com/p_e/ISli4y2gbwghat1000000000.jpg	251000.0	[]	1876.0	NC	154687.0	27925	2131045331
