baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Germanton	[u'Lot: 0.82 acres', u'Single Family', u'Built in 1974', u'All time views: 3,121', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $112,500', u'Last sale price/sqft: $72', u'Attic', u'Fenced Yard', u'Fireplace', u'Lawn', u'Parking: Carport', u'Porch', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Master bath', u'Mud room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,570 sqft', u'Laundry: In Unit', u'Lot depth: 275 ft', u'Lot width: 82 ft', u'Parcel #: 6931252118', u'Zillow Home ID: 5821842']	http://photos1.zillowstatic.com/p_e/ISdonuiazpj9bv1000000000.jpg	112500.0	[]	1570.0	NC	119148.0	27019	5821842
1.5	2	Germanton	[u'Baths: 1 full, 1 half', u'Lot: 9 acres', u'Single Family', u'Built in 1991', u'All time views: 657', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2015 for $191,000', u'Last sale price/sqft: $119', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Carport, Garage - Attached', u'Patio', u'Unfinished basement', u'Living room', u'Stainless steel appliances', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Metal', u'Stories: 2', u'Floor size: 1,600 sqft', u'Laundry: In Unit', u'Parcel #: 693204717625', u'Zillow Home ID: 114858198']	http://photos3.zillowstatic.com/p_e/IShnpadkyjzzfp0000000000.jpg	191000.0	[]	1600.0	NC	166538.0	27019	114858198
1.0	2	Germanton	[u'Lot: 4.11 acres', u'Single Family', u'Built in 1976', u'All time views: 2,574', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $95,000', u'Last sale price/sqft: $55', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,732 sqft', u'Heating: Electric', u'Parcel #: 694102651937', u'Zillow Home ID: 78355509']	http://photos1.zillowstatic.com/p_e/IS1voat9iddx8n1000000000.jpg	95000.0	[]	1732.0	NC	99291.0	27019	78355509
1.0	2	Germanton	[u'Lot: 20.12 acres', u'Single Family', u'Built in 1952', u'All time views: 1,256', u'Heating: Heat pump', u'Last sold: Jul 2016 for $148,200', u'Last sale price/sqft: $133', u'Fireplace', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Floor size: 1,116 sqft', u'Parcel #: 6940536968', u'Zillow Home ID: 121095115']	http://photos3.zillowstatic.com/p_e/ISt0ozd3oqprbr0000000000.jpg	148200.0	[]	1116.0	NC	136244.0	27019	121095115
4.0	3	Germanton	[u'Lot: 10 acres', u'Single Family', u'Built in 1999', u'All time views: 4,301', u'Heating: Forced air', u'Last sold: Jun 2016 for $368,000', u'Last sale price/sqft: $136', u'Deck', u'Fireplace', u'Parking: 1350 sqft garage', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,705 sqft', u'Parcel #: 6941531711', u'Zillow Home ID: 5822161']	http://photos2.zillowstatic.com/p_e/IS1zbjq45i51b30000000000.jpg	368000.0	[]	2705.0	NC	339526.0	27019	5822161
1.0	3	Germanton	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1965', u'All time views: 1,791', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $6,000', u'Last sale price/sqft: $4', u'Parking: Garage - Attached, 1 space, 600 sqft garage', u'Porch', u'Exterior material: Stone', u'Foundation type: Footing', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,424 sqft', u'Parcel #: 692300603253', u'Zillow Home ID: 93089386']	http://photos1.zillowstatic.com/p_e/ISx3lyijei01v71000000000.jpg	6000.0	[]	1424.0	NC	118876.0	27019	93089386
2.0	3	Germanton	[u'Lot: 2 acres', u'Single Family', u'Built in 1978', u'All time views: 2,325', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $116,500', u'Last sale price/sqft: $75', u'Fenced Yard', u'Fireplace', u'Parking: Garage - Attached', u'Patio', u'Unfinished basement', u'Guest parking', u'Range / Oven', u'Washer', u'Breakfast nook', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,545 sqft', u'Laundry: In Unit', u'Parcel #: 693204502154', u'Zillow Home ID: 93089888']	http://photos2.zillowstatic.com/p_e/ISdofkp2j3iawb1000000000.jpg	116500.0	[]	1545.0	NC	141498.0	27019	93089888
1.0	3	Germanton	[u'Lot: 1.04 acres', u'Single Family', u'Built in 1962', u'All time views: 1,256', u'Heating: Forced air', u'Last sold: Feb 2016 for $98,500', u'Last sale price/sqft: $62', u'396 sqft basement', u'Finished basement', u'Fireplace', u'Parking: 720 sqft garage', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,600 sqft', u'Lot depth: 237 ft', u'Lot width: 198 ft', u'Parcel #: 6931328453', u'Zillow Home ID: 5820542']	http://photos3.zillowstatic.com/p_e/ISt8q2ccx5m90o1000000000.jpg	98500.0	[]	1600.0	NC	121189.0	27019	5820542
2.0	3	Germanton	[u'Lot: 5 acres', u'Single Family', u'Built in 1934', u'All time views: 1,974', u'Heating: Forced air', u'Last sold: Dec 2015 for $128,000', u'Last sale price/sqft: $100', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'Appliances: Dishwasher', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Porch', u'Association: Winston-Salem', u'Fireplace Location: Living Room', u'Flooring: Carpet', u'Flooring: Vinyl', u'Flooring: Wood', u'Heating: Forced Warm Air', u'Status: Pending', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Dryer Connection', u'Gas Logs', u'Pantry', u'Foundation Basement: Basement', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Appliances: Range', u'Sewer: Septic', u'Insulated Doors', u'Miscellaneous: Barns', u'Story Number: 2', u'Miscellaneous: Horses Allowed', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Heating Fuel: Natural Gas', u'Fenced', u'Flooring: Carpet over Wood', u'Lot Description: Partially Wooded', u'Lot Description: Partially Fenced', u'Garage Description: Detached Garage', u'Style: Farm House', u'Garage Description: Detached Carport', u'Lot Description: Pasture Land', u'Exterior Finish: Frame', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,279 sqft', u'Parcel #: 6940632553', u'Zillow Home ID: 5821989']	http://photos3.zillowstatic.com/p_e/IS9dwu6qll8hdv1000000000.jpg	128000.0	[]	1279.0	NC	130531.0	27019	5821989
1.0	3	Germanton	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1986', u'All time views: 1,225', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Nov 2015 for $97,000', u'Last sale price/sqft: $92', u'1058 sqft basement', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Flooring: Laminate, Linoleum / Vinyl, Tile', u'Lawn', u'Partial basement', u'Dishwasher', u'Microwave', u'Breakfast nook', u'Office', u'Workshop', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,058 sqft', u'Heating: Electric', u'Parcel #: 694102552598', u'Zillow Home ID: 78355502']	http://photos1.zillowstatic.com/p_e/ISlqmt190kc00l1000000000.jpg	97000.0	[]	1058.0	NC	85478.0	27019	78355502
2.0	3	Germanton	[u'Lot: 1 acre', u'Single Family', u'Built in 1955', u'91 days on Zillow', u'Views since listing: 1,767', u'All time views: 3,539', u'11 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Nov 2015 for $30,000', u'Last sale price/sqft: $21', u'MLS #: 796558', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate', u'Porch', u'Association: Greensboro', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Water: Public', u'Dryer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Status: Active', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Elementary School: Call School Board', u'Exterior Finish: Remarks', u'Property Sub Type: Site Built', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,450 sqft', u'Heating: Electric', u'Parcel #: 693112961886', u'Zillow Home ID: 78354815']	http://photos3.zillowstatic.com/p_e/IStw8d7e3ysal61000000000.jpg	30000.0	[]	1450.0	NC	129239.0	27019	78354815
2.0	3	Germanton	[u'Lot: 0.82 acres', u'Single Family', u'Built in 1974', u'All time views: 3,122', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $112,500', u'Last sale price/sqft: $72', u'Attic', u'Fenced Yard', u'Fireplace', u'Lawn', u'Parking: Carport', u'Porch', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Master bath', u'Mud room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,570 sqft', u'Laundry: In Unit', u'Lot depth: 275 ft', u'Lot width: 82 ft', u'Parcel #: 6931252118', u'Zillow Home ID: 5821842']	http://photos1.zillowstatic.com/p_e/ISdonuiazpj9bv1000000000.jpg	112500.0	[]	1570.0	NC	119148.0	27019	5821842
1.5	2	Germanton	[u'Baths: 1 full, 1 half', u'Lot: 9 acres', u'Single Family', u'Built in 1991', u'All time views: 658', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2015 for $191,000', u'Last sale price/sqft: $119', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Carport, Garage - Attached', u'Patio', u'Unfinished basement', u'Living room', u'Stainless steel appliances', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Metal', u'Stories: 2', u'Floor size: 1,600 sqft', u'Laundry: In Unit', u'Parcel #: 693204717625', u'Zillow Home ID: 114858198']	http://photos3.zillowstatic.com/p_e/IShnpadkyjzzfp0000000000.jpg	191000.0	[]	1600.0	NC	166538.0	27019	114858198
1.0	2	Germanton	[u'Lot: 4.11 acres', u'Single Family', u'Built in 1976', u'All time views: 2,575', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $95,000', u'Last sale price/sqft: $55', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,732 sqft', u'Heating: Electric', u'Parcel #: 694102651937', u'Zillow Home ID: 78355509']	http://photos1.zillowstatic.com/p_e/IS1voat9iddx8n1000000000.jpg	95000.0	[]	1732.0	NC	99291.0	27019	78355509
1.0	2	Germanton	[u'Lot: 20.12 acres', u'Single Family', u'Built in 1952', u'All time views: 1,257', u'Heating: Heat pump', u'Last sold: Jul 2016 for $148,200', u'Last sale price/sqft: $133', u'Fireplace', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Floor size: 1,116 sqft', u'Parcel #: 6940536968', u'Zillow Home ID: 121095115']	http://photos3.zillowstatic.com/p_e/ISt0ozd3oqprbr0000000000.jpg	148200.0	[]	1116.0	NC	136244.0	27019	121095115
4.0	3	Germanton	[u'Lot: 10 acres', u'Single Family', u'Built in 1999', u'All time views: 4,302', u'Heating: Forced air', u'Last sold: Jun 2016 for $368,000', u'Last sale price/sqft: $136', u'Deck', u'Fireplace', u'Parking: 1350 sqft garage', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,705 sqft', u'Parcel #: 6941531711', u'Zillow Home ID: 5822161']	http://photos2.zillowstatic.com/p_e/IS1zbjq45i51b30000000000.jpg	368000.0	[]	2705.0	NC	339526.0	27019	5822161
1.0	3	Germanton	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1965', u'All time views: 1,792', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $6,000', u'Last sale price/sqft: $4', u'Parking: Garage - Attached, 1 space, 600 sqft garage', u'Porch', u'Exterior material: Stone', u'Foundation type: Footing', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,424 sqft', u'Parcel #: 692300603253', u'Zillow Home ID: 93089386']	http://photos1.zillowstatic.com/p_e/ISx3lyijei01v71000000000.jpg	6000.0	[]	1424.0	NC	118876.0	27019	93089386
2.0	3	Germanton	[u'Lot: 2 acres', u'Single Family', u'Built in 1978', u'All time views: 2,326', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $116,500', u'Last sale price/sqft: $75', u'Fenced Yard', u'Fireplace', u'Parking: Garage - Attached', u'Patio', u'Unfinished basement', u'Guest parking', u'Range / Oven', u'Washer', u'Breakfast nook', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,545 sqft', u'Laundry: In Unit', u'Parcel #: 693204502154', u'Zillow Home ID: 93089888']	http://photos2.zillowstatic.com/p_e/ISdofkp2j3iawb1000000000.jpg	116500.0	[]	1545.0	NC	141498.0	27019	93089888
1.0	3	Germanton	[u'Lot: 1.04 acres', u'Single Family', u'Built in 1962', u'All time views: 1,257', u'Heating: Forced air', u'Last sold: Feb 2016 for $98,500', u'Last sale price/sqft: $62', u'396 sqft basement', u'Finished basement', u'Fireplace', u'Parking: 720 sqft garage', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,600 sqft', u'Lot depth: 237 ft', u'Lot width: 198 ft', u'Parcel #: 6931328453', u'Zillow Home ID: 5820542']	http://photos3.zillowstatic.com/p_e/ISt8q2ccx5m90o1000000000.jpg	98500.0	[]	1600.0	NC	121189.0	27019	5820542
2.0	3	Germanton	[u'Lot: 5 acres', u'Single Family', u'Built in 1934', u'All time views: 1,975', u'Heating: Forced air', u'Last sold: Dec 2015 for $128,000', u'Last sale price/sqft: $100', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'Appliances: Dishwasher', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Porch', u'Association: Winston-Salem', u'Fireplace Location: Living Room', u'Flooring: Carpet', u'Flooring: Vinyl', u'Flooring: Wood', u'Heating: Forced Warm Air', u'Status: Pending', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Dryer Connection', u'Gas Logs', u'Pantry', u'Foundation Basement: Basement', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Appliances: Range', u'Sewer: Septic', u'Insulated Doors', u'Miscellaneous: Barns', u'Story Number: 2', u'Miscellaneous: Horses Allowed', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Heating Fuel: Natural Gas', u'Fenced', u'Flooring: Carpet over Wood', u'Lot Description: Partially Wooded', u'Lot Description: Partially Fenced', u'Garage Description: Detached Garage', u'Style: Farm House', u'Garage Description: Detached Carport', u'Lot Description: Pasture Land', u'Exterior Finish: Frame', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,279 sqft', u'Parcel #: 6940632553', u'Zillow Home ID: 5821989']	http://photos3.zillowstatic.com/p_e/IS9dwu6qll8hdv1000000000.jpg	128000.0	[]	1279.0	NC	130531.0	27019	5821989
1.0	3	Germanton	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1986', u'All time views: 1,226', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Nov 2015 for $97,000', u'Last sale price/sqft: $92', u'1058 sqft basement', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Flooring: Laminate, Linoleum / Vinyl, Tile', u'Lawn', u'Partial basement', u'Dishwasher', u'Microwave', u'Breakfast nook', u'Office', u'Workshop', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,058 sqft', u'Heating: Electric', u'Parcel #: 694102552598', u'Zillow Home ID: 78355502']	http://photos1.zillowstatic.com/p_e/ISlqmt190kc00l1000000000.jpg	97000.0	[]	1058.0	NC	85478.0	27019	78355502
2.0	3	Germanton	[u'Lot: 1 acre', u'Single Family', u'Built in 1955', u'91 days on Zillow', u'Views since listing: 1,768', u'All time views: 3,540', u'11 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Nov 2015 for $30,000', u'Last sale price/sqft: $21', u'MLS #: 796558', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate', u'Porch', u'Association: Greensboro', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Water: Public', u'Dryer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Status: Active', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Elementary School: Call School Board', u'Exterior Finish: Remarks', u'Property Sub Type: Site Built', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,450 sqft', u'Heating: Electric', u'Parcel #: 693112961886', u'Zillow Home ID: 78354815']	http://photos3.zillowstatic.com/p_e/IStw8d7e3ysal61000000000.jpg	30000.0	[]	1450.0	NC	129239.0	27019	78354815
2.0	3	Germanton	[u'Lot: 0.82 acres', u'Single Family', u'Built in 1974', u'All time views: 3,123', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $112,500', u'Last sale price/sqft: $72', u'Attic', u'Fenced Yard', u'Fireplace', u'Lawn', u'Parking: Carport', u'Porch', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Master bath', u'Mud room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,570 sqft', u'Laundry: In Unit', u'Lot depth: 275 ft', u'Lot width: 82 ft', u'Parcel #: 6931252118', u'Zillow Home ID: 5821842']	http://photos1.zillowstatic.com/p_e/ISdonuiazpj9bv1000000000.jpg	112500.0	[]	1570.0	NC	119148.0	27019	5821842
1.5	2	Germanton	[u'Baths: 1 full, 1 half', u'Lot: 9 acres', u'Single Family', u'Built in 1991', u'All time views: 659', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2015 for $191,000', u'Last sale price/sqft: $119', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Carport, Garage - Attached', u'Patio', u'Unfinished basement', u'Living room', u'Stainless steel appliances', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Metal', u'Stories: 2', u'Floor size: 1,600 sqft', u'Laundry: In Unit', u'Parcel #: 693204717625', u'Zillow Home ID: 114858198']	http://photos3.zillowstatic.com/p_e/IShnpadkyjzzfp0000000000.jpg	191000.0	[]	1600.0	NC	166538.0	27019	114858198
1.0	2	Germanton	[u'Lot: 4.11 acres', u'Single Family', u'Built in 1976', u'All time views: 2,576', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $95,000', u'Last sale price/sqft: $55', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,732 sqft', u'Heating: Electric', u'Parcel #: 694102651937', u'Zillow Home ID: 78355509']	http://photos1.zillowstatic.com/p_e/IS1voat9iddx8n1000000000.jpg	95000.0	[]	1732.0	NC	99291.0	27019	78355509
1.0	2	Germanton	[u'Lot: 20.12 acres', u'Single Family', u'Built in 1952', u'All time views: 1,258', u'Heating: Heat pump', u'Last sold: Jul 2016 for $148,200', u'Last sale price/sqft: $133', u'Fireplace', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Floor size: 1,116 sqft', u'Parcel #: 6940536968', u'Zillow Home ID: 121095115']	http://photos3.zillowstatic.com/p_e/ISt0ozd3oqprbr0000000000.jpg	148200.0	[]	1116.0	NC	136244.0	27019	121095115
4.0	3	Germanton	[u'Lot: 10 acres', u'Single Family', u'Built in 1999', u'All time views: 4,303', u'Heating: Forced air', u'Last sold: Jun 2016 for $368,000', u'Last sale price/sqft: $136', u'Deck', u'Fireplace', u'Parking: 1350 sqft garage', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,705 sqft', u'Parcel #: 6941531711', u'Zillow Home ID: 5822161']	http://photos2.zillowstatic.com/p_e/IS1zbjq45i51b30000000000.jpg	368000.0	[]	2705.0	NC	339526.0	27019	5822161
1.0	3	Germanton	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1965', u'All time views: 1,793', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $6,000', u'Last sale price/sqft: $4', u'Parking: Garage - Attached, 1 space, 600 sqft garage', u'Porch', u'Exterior material: Stone', u'Foundation type: Footing', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,424 sqft', u'Parcel #: 692300603253', u'Zillow Home ID: 93089386']	http://photos1.zillowstatic.com/p_e/ISx3lyijei01v71000000000.jpg	6000.0	[]	1424.0	NC	118876.0	27019	93089386
2.0	3	Germanton	[u'Lot: 2 acres', u'Single Family', u'Built in 1978', u'All time views: 2,327', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $116,500', u'Last sale price/sqft: $75', u'Fenced Yard', u'Fireplace', u'Parking: Garage - Attached', u'Patio', u'Unfinished basement', u'Guest parking', u'Range / Oven', u'Washer', u'Breakfast nook', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,545 sqft', u'Laundry: In Unit', u'Parcel #: 693204502154', u'Zillow Home ID: 93089888']	http://photos2.zillowstatic.com/p_e/ISdofkp2j3iawb1000000000.jpg	116500.0	[]	1545.0	NC	141498.0	27019	93089888
1.0	3	Germanton	[u'Lot: 1.04 acres', u'Single Family', u'Built in 1962', u'All time views: 1,258', u'Heating: Forced air', u'Last sold: Feb 2016 for $98,500', u'Last sale price/sqft: $62', u'396 sqft basement', u'Finished basement', u'Fireplace', u'Parking: 720 sqft garage', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,600 sqft', u'Lot depth: 237 ft', u'Lot width: 198 ft', u'Parcel #: 6931328453', u'Zillow Home ID: 5820542']	http://photos3.zillowstatic.com/p_e/ISt8q2ccx5m90o1000000000.jpg	98500.0	[]	1600.0	NC	121189.0	27019	5820542
2.0	3	Germanton	[u'Lot: 5 acres', u'Single Family', u'Built in 1934', u'All time views: 1,976', u'Heating: Forced air', u'Last sold: Dec 2015 for $128,000', u'Last sale price/sqft: $100', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'Appliances: Dishwasher', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Porch', u'Association: Winston-Salem', u'Fireplace Location: Living Room', u'Flooring: Carpet', u'Flooring: Vinyl', u'Flooring: Wood', u'Heating: Forced Warm Air', u'Status: Pending', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Dryer Connection', u'Gas Logs', u'Pantry', u'Foundation Basement: Basement', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Appliances: Range', u'Sewer: Septic', u'Insulated Doors', u'Miscellaneous: Barns', u'Story Number: 2', u'Miscellaneous: Horses Allowed', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Heating Fuel: Natural Gas', u'Fenced', u'Flooring: Carpet over Wood', u'Lot Description: Partially Wooded', u'Lot Description: Partially Fenced', u'Garage Description: Detached Garage', u'Style: Farm House', u'Garage Description: Detached Carport', u'Lot Description: Pasture Land', u'Exterior Finish: Frame', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,279 sqft', u'Parcel #: 6940632553', u'Zillow Home ID: 5821989']	http://photos3.zillowstatic.com/p_e/IS9dwu6qll8hdv1000000000.jpg	128000.0	[]	1279.0	NC	130531.0	27019	5821989
1.0	3	Germanton	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1986', u'All time views: 1,227', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Nov 2015 for $97,000', u'Last sale price/sqft: $92', u'1058 sqft basement', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Flooring: Laminate, Linoleum / Vinyl, Tile', u'Lawn', u'Partial basement', u'Dishwasher', u'Microwave', u'Breakfast nook', u'Office', u'Workshop', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,058 sqft', u'Heating: Electric', u'Parcel #: 694102552598', u'Zillow Home ID: 78355502']	http://photos1.zillowstatic.com/p_e/ISlqmt190kc00l1000000000.jpg	97000.0	[]	1058.0	NC	85478.0	27019	78355502
