baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	4	Broadway	[u'Lot: 0.31 acres', u'Single Family', u'Built in 2013', u'All time views: 1,045', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Dec 2013 for $185,500', u'Last sale price/sqft: $88', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Patio', u'Security System', u'Appliance \\ RANGE', u'Appliance \\ W \\ D HOOKUPS', u'Condition \\ Good', u'Electric \\ Central Electric Membership', u'InteriorFeatures \\ BLINDS', u'InteriorFeatures \\ GARDEN TUB', u'InteriorFeatures \\ GAS LOGS', u'InteriorFeatures \\ SEPARATE SHOWER', u'InteriorFeatures \\ SMOKE ALARM(S)', u'Misc \\ FENCED YARD', u'Misc \\ GRANITE COUNTERTOP', u'Misc \\ GREAT ROOM', u'Misc \\ PROPANE TANK - Tenant', u'Miscellaneous \\ FINISHED BONUS ROOM', u'Pets Y\\N \\ Yes', u'PropertyType \\ Rental', u'Sewer \\ Septic Tank', u'Style \\ Two Story', u'Water \\ Harnett County', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,100 sqft', u'Last remodel year: 2013', u'Parcel #: 039597    0039 56', u'Zillow Home ID: 71853362']	http://photos3.zillowstatic.com/p_e/IS9dowqge99o860000000000.jpg	185500.0	[]	2100.0	NC	183090.0	27505	71853362
2.0	2	Broadway	[u'Lot: 4,926 sqft', u'Single Family', u'Built in 2006', u'All time views: 531', u'Heating: Heat pump', u'Last sold: Dec 2013 for $117,500', u'Last sale price/sqft: $83', u'Fireplace', u'Parking: Garage - Attached, 200 sqft garage', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,419 sqft', u'Parcel #: 9681-57-4584-00', u'Zillow Home ID: 107019062']	http://photos3.zillowstatic.com/p_e/IShr0qjdze5uju1000000000.jpg	117500.0	[]	1419.0	NC	128367.0	27505	107019062
2.5	4	Broadway	[u'Lot: 0.84 acres', u'Single Family', u'Built in 2013', u'All time views: 1,370', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Dec 2013 for $184,000', u'Last sale price/sqft: $94', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 576 sqft garage', u'Patio', u'Security System', u'Appliance \\ RANGE', u'Appliance \\ W \\ D HOOKUPS', u'Condition \\ Good', u'Electric \\ DUKE PROGRESS ENERGY', u'Gas \\ Propane', u'InteriorFeatures \\ BLINDS', u'InteriorFeatures \\ GARDEN TUB', u'InteriorFeatures \\ GAS LOGS', u'InteriorFeatures \\ SEPARATE SHOWER', u'InteriorFeatures \\ SMOKE ALARM(S)', u'Misc \\ FENCED YARD', u'Misc \\ GREAT ROOM', u'Pets Y\\N \\ Yes', u'PropertyType \\ Rental', u'Sewer \\ Septic Tank', u'Style \\ Two Story', u'TypeHeat \\ CENTRAL A\\C', u'Water \\ Harnett County', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Roof type: Asphalt', u'Floor size: 1,952 sqft', u'Last remodel year: 2013', u'Parcel #: 03957601  0088 64', u'Zillow Home ID: 121559715']	http://photos2.zillowstatic.com/p_e/IS2b56hjkaqwqz0000000000.jpg	184000.0	[]	1952.0	NC	177971.0	27505	121559715
2.0	2	Broadway	[u'Lot: 0.44 acres', u'Single Family', u'Built in 2002', u'All time views: 3,850', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Nov 2013 for $160,000', u'Last sale price/sqft: $99', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Jetted Tub', u'Parking: Garage - Attached, 400 sqft garage', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'Wired', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Foundation type: Crawl/Raised', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,618 sqft', u'Heating: Electric', u'Parcel #: 9682-21-6693-00', u'Zillow Home ID: 107019222']	http://photos3.zillowstatic.com/p_e/IS5i99x5r1xexa1000000000.jpg	160000.0	[]	1618.0	NC	190443.0	27505	107019222
2.5	3	Broadway	[u'Lot: 0.31 acres', u'Single Family', u'Built in 2013', u'All time views: 732', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2013 for $175,000', u'Last sale price/sqft: $89', u'Attic', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Garage - Attached, 4 spaces, 486 sqft garage', u'Patio', u'Security System', u'Living room', u'New property', u'Stainless steel appliances', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,968 sqft', u'Last remodel year: 2013', u'Laundry: In Unit', u'Parcel #: 039597    0039 54', u'Zillow Home ID: 71895499']	http://photos2.zillowstatic.com/p_e/IS1vkrn1wrt7221000000000.jpg	175000.0	[]	1968.0	NC	180439.0	27505	71895499
2.5	3	Broadway	[u'Lot: 0.34 acres', u'Single Family', u'Built in 2012', u'All time views: 721', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $165,000', u'Last sale price/sqft: $92', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 4 spaces, 520 sqft garage', u'Porch', u'Harnett County', u'NEW CONSTRUCTION', u'Pets Allowed', u'Dishwasher', u'Microwave', u'Range / Oven', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,801 sqft', u'Last remodel year: 2011', u'Parcel #: 039597    0039 78', u'Zillow Home ID: 71862053']	http://photos2.zillowstatic.com/p_e/IShb0vm5yrs7lj0000000000.jpg	165000.0	[]	1801.0	NC	170967.0	27505	71862053
2.5	3	Broadway	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 2013', u'30 days on Zillow', u'Views since listing: 207', u'All time views: 316', u'5 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $180,000', u'Last sale price/sqft: $90', u'MLS #: 471645', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: 440 sqft garage', u'Patio', u'Porch', u'Security System', u'Storage', u'Appliance: RANGE', u'Appliance: DISPOSAL', u'Appliance: D HOOKUPS', u'SMOKE ALARM(S)', u'BLINDS', u'Miscellaneous: FOYER', u'PropertyType: Residential', u'Sewer: Septic Tank', u'SiteDescription: PRIVACY FENCE', u'GAS LOGS', u'SEPARATE SHOWER', u'Construction Type: Vinyl Siding', u'Miscellaneous: OUTSIDE STORAGE', u'Gas: Propane', u'Miscellaneous: CRAWLSPACE', u'Zoning: Residential District', u'Misc: INSULATED WINDOW(S)', u'Water: Harnett County', u'Misc: FORMAL LIVING ROOM', u'Condition: Good', u'Style: Two Story', u'Misc: MORNING ROOM', u'SqFt Range: 2001 TO 2200', u'Electric: DUKE PROGRESS ENERGY', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Structure type: Other', u'Floor size: 2,001 sqft', u'Heating: None', u'Last remodel year: 2013', u'Parcel #: 03957601  0088 18', u'Zillow Home ID: 114195150']	http://photos2.zillowstatic.com/p_e/IS2zrzlovwy6nb0000000000.jpg	180000.0	[]	2001.0	NC	191375.0	27505	114195150
2.0	2	Broadway	[u'Lot: 4,791 sqft', u'Single Family', u'Built in 2004', u'All time views: 346', u'Heating: Heat pump', u'Last sold: Sep 2013 for $119,000', u'Last sale price/sqft: $85', u'Fireplace', u'Parking: Garage - Attached, 200 sqft garage', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,408 sqft', u'Parcel #: 9681-57-1889-00', u'Zillow Home ID: 107019043']	http://photos3.zillowstatic.com/p_e/IS-17sq1zk9l71p9.jpg	119000.0	[]	1408.0	NC	122770.0	27505	107019043
2.0	3	Broadway	[u'Single Family', u'Built in 2012', u'All time views: 776', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Sep 2013 for $175,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 550 sqft garage', u'Patio', u'Security System', u'Appliance \\ RANGE', u'Appliance \\ W \\ D HOOKUPS', u'Condition \\ Good', u'Electric \\ DUKE PROGRESS ENERGY', u'Gas \\ None', u'InteriorFeatures \\ BLINDS', u'InteriorFeatures \\ GARDEN TUB', u'InteriorFeatures \\ GAS LOGS', u'InteriorFeatures \\ SMOKE ALARM(S)', u'Misc \\ BEDROOM DOWNSTAIRS', u'Misc \\ FENCED YARD', u'Misc \\ GREAT ROOM', u'Miscellaneous \\ FINISHED BONUS ROOM', u'Pets Y\\N \\ Yes', u'PropertyType \\ Rental', u'Sewer \\ Septic Tank', u'Style \\ Ranch', u'TypeHeat \\ CENTRAL A\\C', u'Water \\ Harnett County', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Roof type: Asphalt', u'Floor size: 1,893 sqft', u'Last remodel year: 2012', u'Parcel #: 03957601  0088 23', u'Zillow Home ID: 121559631']	http://photos1.zillowstatic.com/p_e/ISpx61ghzcmut10000000000.jpg	175000.0	[]	1893.0	NC	178729.0	27505	121559631
3.0	4	Broadway	[u'Lot: 0.46 acres', u'Single Family', u'Built in 2010', u'All time views: 834', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2013 for $170,000', u'Last sale price/sqft: $70', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 400 sqft garage', u'Dishwasher', u'Range / Oven', u'Dining room', u'Exterior material: Cement concrete', u'Foundation type: Crawl/Raised', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,436 sqft', u'Parcel #: 9681-57-4350-00', u'Zillow Home ID: 113758974']	http://photos1.zillowstatic.com/p_e/IS-nt6tzvd1d4kd.jpg	170000.0	[]	2436.0	NC	212002.0	27505	113758974
3.0	4	Broadway	[u'Baths: 2 full, 1 half', u'Lot: 10.19 acres', u'Single Family', u'Built in 1971', u'All time views: 825', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $179,000', u'Last sale price/sqft: $85', u'1500 sqft basement', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 600 sqft garage', u'Security System', u'Unfinished basement', u'Appliance: RANGE', u'Appliance: D HOOKUPS', u'SMOKE ALARM(S)', u'BLINDS', u'Misc: GREAT ROOM', u'PropertyType: Residential', u'Sewer: Septic Tank', u'Style: Ranch', u'TypeHeat: C', u'Electric: South River Electric', u'Misc: STORM DOOR(S)', u'Zoning: Residential District', u'Misc: FAMILY ROOM', u'Water: Harnett County', u'Misc: FORMAL LIVING ROOM', u'Construction Type: Brick Veneer', u'Miscellaneous: GUTTER', u'SqFt Range: 2001 TO 2200', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,100 sqft', u'Last remodel year: 1971', u'Laundry: In Unit', u'Parcel #: 130611    0050', u'Zillow Home ID: 71878048']	http://photos3.zillowstatic.com/p_e/ISlmv997xjkvdn1000000000.jpg	179000.0	[]	2100.0	NC	180422.0	27505	71878048
2.0	3	Broadway	[u'Lot: 0.34 acres', u'Single Family', u'Built in 2012', u'All time views: 615', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $184,000', u'Last sale price/sqft: $94', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 420 sqft garage', u'Porch', u'Appliance: RANGE', u'SMOKE ALARM(S)', u'BLINDS', u'GARDEN TUB', u'Miscellaneous: FOYER', u'PropertyType: Residential', u'Sewer: Septic Tank', u'SiteDescription: PRIVACY FENCE', u'SEPARATE SHOWER', u'Construction Type: Vinyl Siding', u'Misc: MBR DOWNSTAIRS', u'Miscellaneous: CRAWLSPACE', u'Style: One and One Half', u'Miscellaneous: FINISHED BONUS ROOM', u'Misc: FAMILY ROOM', u'Water: Harnett County', u'Condition: Good', u'Misc: KITCHEN ISLAND', u'SqFt Range: 1901 TO 2000', u'Electric: DUKE PROGRESS ENERGY', u'Contingency Type: Other  See Remarks 2', u'Dishwasher', u'Microwave', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Floor size: 1,952 sqft', u'Heating: Electric', u'Last remodel year: 2012', u'Parcel #: 03957601  0088 47', u'Zillow Home ID: 121560054']	http://photos2.zillowstatic.com/p_e/ISmex5xdbuyqxm1000000000.jpg	184000.0	[]	1952.0	NC	183340.0	27505	121560054
2.0	3	Broadway	[u'Lot: 1 acre', u'Single Family', u'Built in 2012', u'All time views: 801', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $136,000', u'Last sale price/sqft: $114', u'Fireplace', u'Flooring: Tile', u'Parking: 400 sqft garage', u'Patio', u'Garage Count: 1 Car Garage', u'Interior: Blinds', u'Sewer: Septic', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,197 sqft', u'Last remodel year: 2012', u'Parcel #: 039597    0225 30', u'Zillow Home ID: 98788443']	http://photos1.zillowstatic.com/p_e/IS9dwiltk0q9131000000000.jpg	136000.0	[]	1197.0	NC	140045.0	27505	98788443
3.0	3	Broadway	[u'Lot: 1.08 acres', u'Single Family', u'Built in 1993', u'All time views: 2,913', u'Heating: Forced air', u'Last sold: Jun 2016 for $189,000', u'Last sale price/sqft: $78', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Tile', u'Jetted Tub', u'Parking: Garage - Attached', u'Porch', u'Security System', u'Appliance: RANGE', u'Appliance: D HOOKUPS', u'SMOKE ALARM(S)', u'BLINDS', u'Miscellaneous: WINDOW TREATMENTS', u'Miscellaneous: FOYER', u'PropertyType: Residential', u'Sewer: Septic Tank', u'Style: Ranch', u'TypeHeat: C', u'Electric: South River Electric', u'SEPARATE SHOWER', u'Misc: STORM DOOR(S)', u'Misc: MBR DOWNSTAIRS', u'Misc: OTHER BR DOWNSTAIRS', u'Miscellaneous: OUTSIDE STORAGE', u'Miscellaneous: CRAWLSPACE', u'Construction Type: Brick Veneer and Siding', u'Misc: FAMILY ROOM', u'Misc: FORMAL LIVING ROOM', u'Miscellaneous: GUTTER', u'Misc: GRANITE COUNTERTOP', u'Water: Well', u'Misc: SUNROOM', u'Floors: PARQUET', u'Contingency Type: Contingent on closing', u'SqFt Range: 2401 TO 2600', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Stories: 0', u'Floor size: 2,412 sqft', u'Zillow Home ID: 2130705551']	http://photos1.zillowstatic.com/p_e/ISp51me4f09zgg1000000000.jpg	189000.0	[]	2412.0	NC	203390.0	27505	2130705551
2.0	3	Broadway	[u'Lot: 0.34 acres', u'Single Family', u'Built in 2016', u'All time views: 235', u'Heating: Heat pump', u'Last sold: Jun 2016 for $183,000', u'Last sale price/sqft: $93', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Patio', u'Security System', u'Basement Description: No Basement', u'Sep Shower', u'Shower', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'New Construction: Yes', u'Design: 1.5 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Bonus Room Floor: Second', u'Garage Floor: Main', u'Style: Ranch', u'Garden Tub', u'Other Rooms: Finish', u'Parking: Concrete', u'Water: County Water', u'Foundation: Slab', u'Subdivision: Pattons Point', u'Parking: Garage', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: .26-.5 Acres', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 1,968 sqft', u'Laundry: In Unit', u'Parcel #: 039597    0039 50', u'Zillow Home ID: 71849453']	http://photos2.zillowstatic.com/p_e/IShb427hnbj1q01000000000.jpg	183000.0	[]	1968.0	NC	180533.0	27505	71849453
4.0	4	Broadway	[u'Baths: 3 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 2004', u'All time views: 1,244', u'Last sold: May 2016 for $211,000', u'Last sale price/sqft: $71', u'Floor size: 2,974 sqft', u'Zillow Home ID: 2130892364']	http://photos1.zillowstatic.com/p_e/ISdajlh0xbgfqb.jpg	211000.0	[]	2974.0	NC	326639.0	27505	2130892364
3.0	3	Broadway	[u'Lot: 0.35 acres', u'Single Family', u'Built in 2014', u'All time views: 443', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $182,000', u'Last sale price/sqft: $98', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces, 441 sqft garage', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,854 sqft', u'Last remodel year: 2014', u'Parcel #: 039597    0039 59', u'Zillow Home ID: 71852192']	http://photos2.zillowstatic.com/p_e/IS5eazew5tvv9j0000000000.jpg	182000.0	[]	1854.0	NC	178158.0	27505	71852192
2.5	4	Broadway	[u'Baths: 2 full, 1 half', u'Lot: 0.35 acres', u'Single Family', u'Built in 2014', u'All time views: 925', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: May 2016 for $182,000', u'Last sale price/sqft: $91', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 1 space', u'Patio', u'Security System', u'Basement Description: No Basement', u'Sep Shower', u'Shower', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Roof: Shingle', u'Style: Traditional', u'Design: 2 Story', u'New Construction: Yes', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Bedroom 4 Floor: Second', u'Garage Floor: Main', u'Garden Tub', u'Lot Description: Cul-De-Sac', u'Parking: Concrete', u'Water: County Water', u'Foundation: Slab', u'Subdivision: Pattons Point', u'Parking: Garage', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: .26-.5 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,999 sqft', u'Heating: Electric', u'Parcel #: 039597    0039 60', u'Zillow Home ID: 71874090']	http://photos1.zillowstatic.com/p_e/ISdgpiw7hgw6k01000000000.jpg	182000.0	[]	1999.0	NC	178018.0	27505	71874090
2.0	3	Broadway	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1996', u'All time views: 1,869', u'Heating: Heat pump', u'Last sold: May 2016 for $112,000', u'Last sale price/sqft: $91', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Patio', u'Porch', u'Basement Description: No Basement', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Water: City Sewer', u'Water: City Water', u'Shower', u'Inside City: Yes', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Out Building', u'Parking: Concrete', u'Foundation: Brick Foundation', u'Fireplace Description: No Fireplace', u'Attic Description: No Attic', u'Parking: Garage', u'Smoke Alarm', u'Country: USA', u'Acres: .26-.5 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 1,232 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2100759047']	http://photos1.zillowstatic.com/p_e/ISpl15ajzfx1u50000000000.jpg	112000.0	[]	1232.0	NC	125088.0	27505	2100759047
2.0	3	Broadway	[u'Lot: 0.35 acres', u'Single Family', u'Built in 2007', u'All time views: 1,764', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $128,000', u'Last sale price/sqft: $75', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces, 543 sqft garage', u'Patio', u'Appliance: RANGE', u'Appliance: D HOOKUPS', u'SMOKE ALARM(S)', u'GARDEN TUB', u'Misc: GREAT ROOM', u'Miscellaneous: SLAB FOUNDATION', u'Miscellaneous: FOYER', u'PropertyType: Residential', u'Style: Ranch', u'TypeHeat: C', u'SEPARATE SHOWER', u'SiteDescription: REAR FENCING', u'SiteDescription: CUL DE SAC', u'Misc: MBR DOWNSTAIRS', u'Misc: OTHER BR DOWNSTAIRS', u'Construction Type: Brick Veneer and Siding', u'Miscellaneous: FINISHED BONUS ROOM', u'Condition: Average', u'Electric: Central Electric Membership', u'SqFt Range: 1701 TO 1800', u'Dishwasher', u'Dining room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,704 sqft', u'Last remodel year: 2006', u'Parcel #: 03959701  0039 02', u'Unit floor #: 0', u'Zillow Home ID: 71865297']	http://photos3.zillowstatic.com/p_e/IShnh04gy5fwn31000000000.jpg	128000.0	[]	1704.0	NC	160770.0	27505	71865297
