baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Blairsden-graeagle	[u'Lot: 0.32 acres', u'Single Family', u'Built in 1978', u'All time views: 403', u'Cooling: None', u'Last sold: Jun 2016 for $223,000', u'Last sale price/sqft: $148', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: 400 sqft garage', u'Stories: 1', u'Frontage: Street', u'View: Neighborhood', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FIREPLACE: Woodstove', u'FOUNDATION: Perimeter', u'HEATING: Woodstove', u'INSULATION: Original', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'UTILITIES: Phone Yes', u'WATER HEATER: Electric', u'Appx. Year Built Source: Assessor', u'Basement: Crawl Space', u'BASEMENT: Crawl Space', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'TREES: Mixed', u'BATH: Shower Stall', u'TREES: Large Trees', u'PROPERTY DESCRIPTION: Wooded', u'UTILITIES: Sewer Septic', u'OCCUPANT: Tenant', u'FOUNDATION: Poured Concrete', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'INTERIOR FEATURES: Some Window Treatments', u'UTILITIES: Water Private Co', u'EQUIPMENT: Garage Door Opener', u'HEATING: Electric', u'POSSESSION: Other', u'LA1Agent Phone1 CountryId: United States (+1)', u'Range / Oven', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,504 sqft', u'Parcel #: 130267004000', u'Zillow Home ID: 52928904']	http://photos1.zillowstatic.com/p_e/ISx3xjjfcgyq6j1000000000.jpg	223000.0	[]	1504.0	CA	218039.0	96103	52928904
2.0	2	Johnsville	[u'Lot: 0.37 acres', u'Single Family', u'Built in 2009', u'All time views: 4,743', u'Heating: Geothermal, Other, Radiant, Stove', u'Last sold: Jun 2016 for $355,000', u'Last sale price/sqft: $142', u'Barbecue', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached, 1 space', u'Porch', u'Skylight', u'Vaulted Ceiling', u'View: Mountain, Territorial', u'Area Description: Mountain', u'Views: Scenic', u'Age: 1-5 Years Old', u'Lot Size: 2 Acre', u'Lot Description: Level', u'Kitchen Granite Countertops', u'Area Amenities: Golf', u'Area Amenities: Outdoor Activities', u'Kitchen Designer Kitchen', u'Area Amenities: Biking', u'General: Energy-saving Features', u'General: Laundry Facilities', u'Area Amenities: Biking Path', u'Heating Type: Multi-Zone Heat', u'Area Amenities: Stables', u'Area Amenities: Area Fishing', u'Bath Tub Only', u'Body of Water: River', u'Area Description: Cycling', u'Bath Stall Shower', u'General: Smoke Detector', u'Basement: Crawl Space', u'Sewer: Septic', u'Area Amenities: Area Hiking', u'Fencing: Partially Fenced', u'Area Description: Fishing', u'Area Amenities: Area Snowmobiling', u'Views: Lake & Stream', u'Lot Description: Access Type - Road', u'Interior: Exercise Area', u'Location: Riverfront', u'Special Market: Second Home', u'Fencing: Metal Fence', u'Pre-Wiring: Entertainment System', u'Area Description: Privacy', u'Garage Count: 1 Car Garage', u'Area Amenities: Area Climbing', u'Lot Description: Wooded', u'Location: Slope Side', u'Fireplace Description: Wood Burning Stove', u'Lot Description: Irregular', u'Heating - Fuel Type: Wood', u'Rooms: Artist Studio', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Family room', u'Laundry room', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,500 sqft', u'Heating: Electric, Other, Solar, Wood / pellet', u'Laundry: In Unit', u'Parcel #: 006014007000', u'Zillow Home ID: 98377026']	http://photos3.zillowstatic.com/p_e/IS52lzocqvy1zl1000000000.jpg	355000.0	[]	2500.0	CA	328722.0	96103	98377026
2.0	3	Blairsden	[u'Lot: 0.31 acres', u'Single Family', u'Built in 2004', u'All time views: 379', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $430,000', u'Last sale price/sqft: $189', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Porch', u'Sauna', u'Skylight', u'Sprinkler System', u'View: Mountain', u'Stories: 1', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Sewer Public', u'UTILITIES: Electric Yes', u'INTERIOR FEATURES: Washer Hook Ups', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Pantry', u'OTHER ROOMS: Kitchen', u'UTILITIES: Water Community', u'INTERIOR FEATURES: Master Bath', u'PROPERTY DESCRIPTION: Corner', u'INTERIOR FEATURES: Electric Stove Connection', u'WATER HEATER: Propane', u'OCCUPANT: Owner Occasionally', u'Appx. Year Built Source: Owner', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'EXTERIOR FEATURES: Landscaped', u'EXTERIOR FEATURES: Partial', u'INSULATION: Upgrade', u'BATH: Tub Without Shower', u'INTERIOR FEATURES: All Window Treatments', u'LANDSCAPING: Landscape Front', u'EQUIPMENT: Garage Door Opener', u'EXTERIOR FEATURES: Outside Lighting', u'LANDSCAPING: Landscape Rear', u'LANDSCAPING: Outdoor Lighting', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,280 sqft', u'Heating: Gas', u'Parcel #: 123320017000', u'Zillow Home ID: 112420245']	http://photos2.zillowstatic.com/p_e/IS5ilm3p82gji10000000000.jpg	430000.0	[]	2280.0	CA	337236.0	96103	112420245
2.0	3	Graeagle	[u'Lot: 0.3 acres', u'Single Family', u'Built in 1992', u'All time views: 1,609', u'Last sold: Jun 2016 for $271,500', u'Last sale price/sqft: $175', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: 484 sqft garage', u'Skylight', u'Vaulted Ceiling', u'Wired', u'Stories: 1', u'Basement: None', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BASEMENT: None', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FENCE: Partial', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'WATER HEATER: Electric', u'Appx. Year Built Source: Assessor', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Pantry', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'BATH: Shower Stall', u'INTERIOR FEATURES: Master Bath', u'LANDSCAPING: Landscape None', u'TREES: Large Trees', u'WATER HEATER: Other', u'FENCE: Wood', u'LANDSCAPING: Fenced Partial', u'EXTERIOR FEATURES: Outbuilding', u'PROPERTY DESCRIPTION: Wooded', u'UTILITIES: Sewer Septic', u'UTILITIES: Phone Available', u'APPLIANCES: Electric Oven', u'INTERIOR FEATURES: Electric Stove Connection', u'OCCUPANT: Owner Occasionally', u'EXTERIOR FEATURES: Private Yard', u'TREES: Pine', u'INTERIOR FEATURES: Icemaker Connection', u'FOUNDATION: Poured Concrete', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'View: Greenbelt', u'HEATING: Pellet Stove', u'INTERIOR FEATURES: All Window Treatments', u'PROPERTY DESCRIPTION: Green Belt', u'UTILITIES: Water Private Co', u'EQUIPMENT: Garage Door Opener', u'INTERIOR FEATURES: 9ft+ Ceilings', u'EXTERIOR FEATURES: Run', u'EXTERIOR FEATURES: Outside Lighting', u'LANDSCAPING: Sprinkler Front', u'FIREPLACE: Other', u'LANDSCAPING: Outdoor Lighting', u'EXTERIOR FEATURES: Rain Gutters', u'OTHER ROOMS: Foyer', u'EQUIPMENT: CO Detector', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Floor size: 1,550 sqft', u'Laundry: In Unit', u'Parcel #: 130321005000', u'Zillow Home ID: 112401505']	http://photos2.zillowstatic.com/p_e/IS1fcie069hecq1000000000.jpg	271500.0	[]	1550.0	CA	273326.0	96103	112401505
3.0	4	Blairsden Graeagle	[u'Lot: 0.35 acres', u'Single Family', u'Built in 2002', u'All time views: 431', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Jun 2016 for $475,000', u'Last sale price/sqft: $222', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: 739 sqft garage', u'Porch', u'Skylight', u'Sprinkler System', u'Vaulted Ceiling', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'UTILITIES: Phone Yes', u'Appx. Year Built Source: Assessor', u'Stories: 2', u'Basement: Crawl Space', u'BASEMENT: Crawl Space', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'UTILITIES: Water Community', u'BATH: Shower Stall', u'TREES: Large Trees', u'WATER HEATER: Other', u'LANDSCAPING: Fenced Partial', u'INTERIOR FEATURES: Gas Stove Connection', u'UTILITIES: Sewer Septic', u'DRIVEWAY: Gravel', u'FENCE: Chain Link', u'WATER HEATER: Propane', u'OCCUPANT: Owner Occasionally', u'BATH: Shower Only', u'OTHER ROOMS: Great Room', u'LANDSCAPING: Landscape Front & Rear', u'EXTERIOR FEATURES: Landscaped', u'EXTERIOR FEATURES: Partial', u'INTERIOR FEATURES: Some Window Treatments', u'OTHER ROOMS: Study', u'EQUIPMENT: Garage Door Opener', u'OTHER ROOMS: Loft', u'UTILITIES: Utilities Underground', u'LANDSCAPING: Sprinkler Front & Rear', u'View: Golf Course', u'EQUIPMENT: CO Detector', u'LA1Agent Phone1 CountryId: United States (+1)', u'HOA - COMMUNITY AMENITIES: Association Optional', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Dining room', u'Exterior material: Other', u'Roof type: Composition', u'Stories: 2', u'Floor size: 2,144 sqft', u'Heating: Gas', u'Parcel #: 129101002000', u'Zillow Home ID: 112428233']	http://photos3.zillowstatic.com/p_e/ISlqaoxkelqzer1000000000.jpg	475000.0	[]	2144.0	CA	357331.0	96103	112428233
2.0	3	Blairsden Graeagle	[u'Lot: 5,662 sqft', u'Single Family', u'Built in 1992', u'All time views: 607', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $250,000', u'Last sale price/sqft: $163', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Hot Tub/Spa', u'Parking: 432 sqft garage', u'Sprinkler System', u'Stories: 1', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Sewer Public', u'UTILITIES: Electric Yes', u'WATER HEATER: Electric', u'COOLING: Electric', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Kitchen', u'UTILITIES: Water Community', u'BATH: Shower Stall', u'INTERIOR FEATURES: Master Bath', u'UTILITIES: Phone Available', u'Appx. Year Built Source: Other', u'INTERIOR FEATURES: Electric Stove Connection', u'OCCUPANT: Owner Occasionally', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'EXTERIOR FEATURES: Landscaped', u'EXTERIOR FEATURES: Partial', u'INTERIOR FEATURES: All Window Treatments', u'HEATING: Electric', u'UTILITIES: Utilities Underground', u'View: Golf Course', u'EQUIPMENT: CO Detector', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,530 sqft', u'Laundry: In Unit', u'Parcel #: 129170040000', u'Zillow Home ID: 112428069']	http://photos3.zillowstatic.com/p_e/IS9tsa9x8geoao0000000000.jpg	250000.0	[]	1530.0	CA	245700.0	96103	112428069
2.0	3	Graeagle	[u'Lot: 0.33 acres', u'Single Family', u'Built in 1993', u'All time views: 2,967', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: May 2016 for $209,000', u'Last sale price/sqft: $163', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate, Tile', u'Parking: 552 sqft garage', u'Patio', u'Waterfront', u'Stories: 1', u'Basement: None', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BASEMENT: None', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'OCCUPANT: Other', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'WATER HEATER: Electric', u'Appx. Year Built Source: Assessor', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'BATH: Shower Stall', u'FIREPLACE: None', u'INTERIOR FEATURES: Master Bath', u'TREES: Large Trees', u'EXTERIOR FEATURES: Outbuilding', u'PROPERTY DESCRIPTION: Wooded', u'UTILITIES: Sewer Septic', u'UTILITIES: Phone Available', u'APPLIANCES: Electric Oven', u'FENCE: Chain Link', u'INTERIOR FEATURES: Electric Stove Connection', u'OTHER ROOMS: Hobby', u'View: Other', u'OTHER ROOMS: Other', u'EXTERIOR FEATURES: Private Yard', u'POSSESSION: Immediately', u'TREES: Pine', u'INTERIOR FEATURES: Icemaker Connection', u'FOUNDATION: Poured Concrete', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'EXTERIOR FEATURES: Landscaped', u'EXTERIOR FEATURES: Partial', u'HEATING: Free Standing Oil', u'INTERIOR FEATURES: All Window Treatments', u'UTILITIES: Water Private Co', u'EQUIPMENT: Garage Door Opener', u'EXTERIOR FEATURES: Run', u'EXTERIOR FEATURES: Outside Lighting', u'PROPERTY DESCRIPTION: No Outlet Street', u'LANDSCAPING: Outdoor Lighting', u'EXTERIOR FEATURES: Rain Gutters', u'EQUIPMENT: CO Detector', u'LA1Agent Phone1 CountryId: United States (+1)', u'HOA - COMMUNITY AMENITIES: CC&Rs', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,285 sqft', u'Heating: Oil', u'Laundry: In Unit', u'Parcel #: 130271008000', u'Zillow Home ID: 112404744']	http://photos2.zillowstatic.com/p_e/IShn10lsh7go9e0000000000.jpg	209000.0	[]	1285.0	CA	202340.0	96103	112404744
2.0	2	Blairsden	[u'Lot: 5,227 sqft', u'Single Family', u'Built in 1991', u'All time views: 446', u'Cooling: None', u'Heating: Forced air', u'Last sold: Apr 2016 for $188,500', u'Last sale price/sqft: $150', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Linoleum / Vinyl', u'Sprinkler System', u'Vaulted Ceiling', u'Stories: 1', u'Basement: None', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BASEMENT: None', u'BATH: Tub', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'OCCUPANT: Other', u'OTHER ROOMS: Living Room', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'WATER HEATER: Electric', u'Appx. Year Built Source: Assessor', u'CONSTRUCTION: Wood', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'UTILITIES: Water Community', u'APPLIANCES: None', u'FIREPLACE: None', u'INTERIOR FEATURES: Master Bath', u'WATERFRONT: None', u'FENCE: None', u'LANDSCAPING: Fenced None', u'View: Scenic', u'ASSOCIATION FEE INCLU: Other', u'LANDSCAPING: Landscape Front & Rear', u'DRIVEWAY: Asphalt', u'EXTERIOR FEATURES: Landscaped', u'INTERIOR FEATURES: Some Window Treatments', u'EXTERIOR FEATURES: Full', u'EQUIPMENT: Garage Door Opener', u'LANDSCAPING: Sprinkler Front & Rear', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,260 sqft', u'Parcel #: 129170029000', u'Zillow Home ID: 59733273']	http://photos1.zillowstatic.com/p_e/ISxzpzn6gzlm0a1000000000.jpg	188500.0	[]	1260.0	CA	194586.0	96103	59733273
2.0	3	Graeagle	[u'Lot: 0.34 acres', u'Single Family', u'Built in 1968', u'All time views: 1,465', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $359,000', u'Last sale price/sqft: $129', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Hot Tub/Spa', u'Parking: 525 sqft garage', u'Skylight', u'Sprinkler System', u'Vaulted Ceiling', u'Stories: 1', u'Basement: None', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BASEMENT: None', u'CONSTRUCTION: Frame', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'OCCUPANT: Other', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'WATER HEATER: Electric', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Pantry', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'INTERIOR FEATURES: Master Bath', u'TREES: Large Trees', u'FENCE: Wood', u'LANDSCAPING: Fenced Partial', u'PROPERTY DESCRIPTION: Wooded', u'UTILITIES: Sewer Septic', u'UTILITIES: Phone Available', u'APPLIANCES: Electric Oven', u'Appx. Year Built Source: Other', u'INTERIOR FEATURES: Electric Stove Connection', u'OTHER ROOMS: Hobby', u'WATER HEATER: Propane', u'APPLIANCES: Wall Oven', u'BATH: Shower Only', u'FOUNDATION: Slab', u'EXTERIOR FEATURES: Private Yard', u'TREES: Pine', u'INTERIOR FEATURES: Icemaker Connection', u'FOUNDATION: Poured Concrete', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'EXTERIOR FEATURES: Landscaped', u'EXTERIOR FEATURES: Partial', u'View: Meadow', u'EQUIPMENT: Whirlpool Spa', u'FOUNDATION: Partial', u'OTHER ROOMS: Study', u'INTERIOR FEATURES: All Window Treatments', u'PROPERTY DESCRIPTION: Green Belt', u'UTILITIES: Water Private Co', u'EQUIPMENT: Garage Door Opener', u'INTERIOR FEATURES: Open Beam Ceilings', u'INTERIOR FEATURES: 9ft+ Ceilings', u'LANDSCAPING: Fenced Rear', u'EXTERIOR FEATURES: Outside Lighting', u'LANDSCAPING: Outdoor Lighting', u'EXTERIOR FEATURES: Rain Gutters', u'FENCE: Other Type', u'OTHER ROOMS: Foyer', u'EQUIPMENT: CO Detector', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,784 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 130061021000', u'Zillow Home ID: 55473048']	http://photos3.zillowstatic.com/p_e/ISlyg2b0932ard0000000000.jpg	359000.0	[]	2784.0	CA	353400.0	96103	55473048
2.0	3	Blairsden Graeagle	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1964', u'All time views: 1,818', u'Cooling: Central', u'Heating: Other', u'Last sold: Mar 2016 for $165,000', u'Last sale price/sqft: $100', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 240 sqft garage', u'Porch', u'Vaulted Ceiling', u'Waterfront', u'Stories: 1', u'Basement: None', u'Sale: For Sale', u'ACCESS: Paved', u'BASEMENT: None', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FENCE: Partial', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'OCCUPANT: Other', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Sewer Public', u'UTILITIES: Electric Yes', u'UTILITIES: Phone Yes', u'WATER HEATER: Electric', u'Appx. Year Built Source: Assessor', u'INTERIOR FEATURES: Washer Hook Ups', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Kitchen', u'UTILITIES: Water Community', u'ATTIC: None', u'BATH: Shower Stall', u'TREES: Large Trees', u'LANDSCAPING: Fenced Partial', u'PROPERTY DESCRIPTION: Wooded', u'DRIVEWAY: Gravel', u'INTERIOR FEATURES: Electric Stove Connection', u'EXTERIOR FEATURES: Private Yard', u'TREES: Pine', u'OTHER ROOMS: Great Room', u'EXTERIOR FEATURES: Landscaped', u'EXTERIOR FEATURES: Partial', u'Frontage: Meadow', u'View: Meadow', u'HEATING: Free Standing Oil', u'LANDSCAPING: Landscape Front', u'PROPERTY DESCRIPTION: Green Belt', u'INTERIOR FEATURES: Open Beam Ceilings', u'EXTERIOR FEATURES: Outside Lighting', u'LANDSCAPING: Landscape Rear', u'FIREPLACE: Other', u'LANDSCAPING: Outdoor Lighting', u'ASSOCIATION FEE INCLU: Snow Removal', u'EQUIPMENT: CO Detector', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,643 sqft', u'Heating: Oil', u'Parcel #: 129054007000', u'Zillow Home ID: 112420755']	http://photos1.zillowstatic.com/p_e/IS1bly1v6qz38q0000000000.jpg	165000.0	[]	1643.0	CA	214852.0	96103	112420755
