baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	4	Edenton	[u'Lot: 9,600 sqft', u'Single Family', u'Built in 1950', u'All time views: 2,577', u'Cooling: Central', u'Heating: Forced air, Heat pump, Other', u'Last sold: Aug 2015 for $112,000', u'Last sale price/sqft: $62', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Detached, 400 sqft garage', u'Roof: Architectural', u'Type & Style: Traditional', u'Water: City Water', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Washer Hook-up', u'Dryer Hook-up', u'Gas Logs (Propane)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Storm Doors', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Fenced Back Yard', u'Appliances: Disposal', u'Heating System: Other', u'Attic: Other', u'Location Description: Corner Lot', u'Rooms: Rec Room', u'Appliances: Hood', u'Type & Style: 1.5 Stories', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1.7', u'Floor size: 1,800 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 689412979247', u'Zillow Home ID: 114798700']	http://photos3.zillowstatic.com/p_e/ISt4nldac3tpnc0000000000.jpg	112000.0	[]	1800.0	NC	127670.0	27932	114798700
1.0	2	Edenton	[u'Lot: 7,700 sqft', u'Single Family', u'Built in 1949', u'All time views: 3,409', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2015 for $93,000', u'Last sale price/sqft: $85', u'Attic', u'Fireplace', u'Flooring: Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached', u'Water: County Water', u'Sewer: City Sewer', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Fenced Back Yard', u'Privacy Fence', u'Attic: Other', u'Picket Fence', u'Garage: Garage-Other', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Other', u'Room count: 4', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,100 sqft', u'Heating: Propane butane', u'Last remodel year: 2013', u'Parcel #: 780409072208', u'Zillow Home ID: 114800722']	http://photos3.zillowstatic.com/p_e/IShff194obz3fl0000000000.jpg	93000.0	[]	1100.0	NC	94684.0	27932	114800722
2.0	3	Edenton	[u'Lot: 0.29 acres', u'Single Family', u'Built in 1979', u'All time views: 1,910', u'HOA Fee: $8/mo', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2015 for $137,250', u'Last sale price/sqft: $84', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Linoleum / Vinyl', u'Parking: Garage - Attached, 1 space, 200 sqft garage', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Drive: Concrete', u'Storage Building', u'Location Description: Association Fees', u'Water Desc: Water Access', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Water: Well Water', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Water Desc: Other', u'Type & Style: 1.5 Stories', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Metal', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,625 sqft', u'Parcel #: 697011564585', u'Zillow Home ID: 114799141']	http://photos3.zillowstatic.com/p_e/IS5a7ud8fz7x1s0000000000.jpg	137250.0	[]	1625.0	NC	121634.0	27932	114799141
1.5	3	Edenton	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1960', u'All time views: 1,237', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2015 for $76,500', u'Last sale price/sqft: $56', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Carport', u'Patio', u'Heating System: Air to Air Heat Pump', u'Air Conditioning: Central Electric', u'Sewer: City Sewer', u'Roof: Architectural', u'Type & Style: One Story', u'Rooms: Dining Room', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Appliances: Refrigerator', u'Floors: Vinyl', u'Floors: Carpet', u'Floors: Hardwood', u'Floors: Tile', u'Location Description: Under 1 acre', u'Water Desc: None', u'Drive: Asphalt', u'Storage Building', u'Property Type: Residential', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Ownership Rights: Not Applicable', u'Construction: Brick Veneer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'County: Chowan', u'Rooms: Laundry', u'Water: Well Water', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Workshop', u'Rooms: Den', u'Rooms: Patio', u'Garage: Carport-Other', u'Refrigerator', u'Dining room', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,375 sqft', u'Laundry: Shared', u'Parcel #: 780520901250', u'Zillow Home ID: 114801109']	http://photos2.zillowstatic.com/p_e/ISdobp21huke6t1000000000.jpg	76500.0	[]	1375.0	NC	73318.0	27932	114801109
2.0	3	Edenton	[u'Lot: 0.38 acres', u'Single Family', u'Built in 2003', u'All time views: 1,523', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $230,000', u'Last sale price/sqft: $127', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 400 sqft garage', u'Pool', u'View: Territorial', u'Water Heater: Electric', u'Sewer: City Sewer', u'Type & Style: One Story', u'Water: City Water', u'Foundation: Crawl Space', u'Attic: Pull Down Stairs', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Drive: Concrete', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Solid Surface Counter Tops', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Rooms: Foyer', u'County: Chowan', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Flood Zone: None', u'Location Description: Club House Association', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,818 sqft', u'Heating: Electric', u'Parcel #: 781405094438', u'Zillow Home ID: 123407114']	http://photos1.zillowstatic.com/p_e/ISah7adzmb35y90000000000.jpg	230000.0	[]	1818.0	NC	282897.0	27932	123407114
2.0	3	Edenton	[u'Lot: 0.78 acres', u'Single Family', u'Built in 2000', u'169 days on Zillow', u'Views since listing: 2,429', u'All time views: 2,449', u'41 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $88,000', u'Last sale price/sqft: $52', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Parking: Carport', u'Move-in Ready', u'Dishwasher', u'Refrigerator', u'Dining room', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,701 sqft', u'Heating: Gas', u'Parcel #: 688800381532', u'Zillow Home ID: 114798571']	http://photos2.zillowstatic.com/p_e/IS56cv27rpheac0000000000.jpg	88000.0	[]	1701.0	NC	137392.0	27932	114798571
2.0	3	Edenton	[u'Lot: 0.76 acres', u'Single Family', u'Built in 2004', u'All time views: 1,054', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $151,000', u'Last sale price/sqft: $110', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Carport', u'Porch', u'Vaulted Ceiling', u'Water Heater: Electric', u'Water: County Water', u'Roof: Architectural', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'County: Chowan', u'Garage: Garage-None', u'Split Floor Plan', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Above Ground Swimming Pool', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,370 sqft', u'Heating: Gas', u'Laundry: In Unit, Shared', u'Parcel #: 689900508263', u'Zillow Home ID: 114799068']	http://photos1.zillowstatic.com/p_e/ISl6rjdggg5yav1000000000.jpg	151000.0	[]	1370.0	NC	149595.0	27932	114799068
2.0	3	Edenton	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1994', u'All time views: 4,973', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $35,829', u'Last sale price/sqft: $21', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 2 spaces, 400 sqft garage', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Rooms: Kitchen', u'Location Description: Under 1 acre', u'Water Desc: None', u'Large Master Bedroom', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'County: Chowan', u'Split Floor Plan', u'Drive: Dirt', u'Rooms: Den', u'Flood Zone: None', u'Laminated Counter Tops', u'Modular: Multi Section Manufacture', u'Appliances: Hood', u'Type & Style: Other', u'Ownership Rights: Under Foreclosure', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,692 sqft', u'Heating: Gas', u'Parcel #: 783400111950', u'Zillow Home ID: 114800345']	http://photos2.zillowstatic.com/p_e/IShzqfjhrd57a30000000000.jpg	35829.0	[]	1692.0	NC	121110.0	27932	114800345
2.0	3	Edenton	[u'Lot: 5.29 acres', u'Single Family', u'Built in 2006', u'All time views: 1,328', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $129,000', u'Last sale price/sqft: $85', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'County: Chowan', u'Garage: Garage-None', u'Split Floor Plan', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Workshop', u'Fenced Back Yard', u'Modular: Multi Section Manufacture', u'Location Description: 3.1-10 acres', u'Dishwasher', u'Dryer', u'Freezer', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,512 sqft', u'Laundry: In Unit, Shared', u'Parcel #: 782400780786', u'Zillow Home ID: 114800231']	http://photos1.zillowstatic.com/p_e/ISlyocgd5rad8j0000000000.jpg	129000.0	[]	1512.0	NC	117120.0	27932	114800231
2.0	4	Edenton	[u'Single Family', u'Built in 1900', u'All time views: 2,381', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $18,500', u'Last sale price/sqft: $10', u'Ceiling Fan', u'Parking: Carport', u'HasBasement: 0', u'HasBodyOfWater: 0', u'IsForeClosure: 0', u'IsNewConstruction: 0', u'IsSale: 1', u'LotSquareFootage: 0', u'NoOfLevels: 0', u'PropertyType: Residential', u'WaterHeater: Electric', u'HasPool: 0', u'HasWaterFront: 0', u'CondoFee: 0', u'CvrdParking1Spaces: 0', u'CvrdParking2Spaces: 0', u'HasWaterAccess: 0', u'HasWaterView: 0', u'HOAFee: 0', u'TotalLeasedUnits: 0', u'TotalNoOfUnits: 0', u'TotalUnfurnishedUnits: 0', u'BasementType: Crawl Space', u'HalfBaths: 0', u'Fireplaces: 0', u'Appliances: None', u'LotNumber: NA', u'TotalSquareFeet: 1900', u'TaxYear: 2015', u'LotDimensions: 50 x 118', u'Sewer: City Sewer', u'Water: City Water', u'Exterior: Frame', u'No Fence', u'GarageType: Garage-None', u'Style: Two Stories', u'Ownership: Government Owned', u'TotalTaxes: 399.75', u'Dining room', u'Roof type: Metal', u'Stories: 2', u'Floor size: 1,900 sqft', u'Zillow Home ID: 2108137003']	http://photos1.zillowstatic.com/p_e/ISd4cwcby1ie1a0000000000.jpg	18500.0	[]	1900.0	NC	74651.0	27932	2108137003
4.0	4	Edenton	[u'Baths: 2 full, 2 half', u'Lot: 1.19 acres', u'Single Family', u'Built in 2000', u'All time views: 3,059', u'HOA Fee: $16/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $329,000', u'Last sale price/sqft: $74', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached, 3 spaces, 600 sqft garage', u'Security System', u'Water Heater: Electric', u'Water: County Water', u'Rooms: Great Room', u'Foundation: Crawl Space', u'Rooms: Kitchen', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Two Stories', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Construction: Brick Veneer', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'County: Chowan', u'Location Description: 1- 3 acres', u'Half Bath', u'Central Vacuum System', u'FROG', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Rooms: Utility Room', u'Rooms: Den', u'Flood Zone: None', u'Drive: Gravel', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 11', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 4,460 sqft', u'Heating: Gas', u'Parcel #: 781400855079', u'Zillow Home ID: 114799980']	http://photos1.zillowstatic.com/p_e/IS1b5iu9jhq8y41000000000.jpg	329000.0	[]	4460.0	NC	341620.0	27932	114799980
5.0	3	Edenton	[u'Baths: 4 full, 1 half', u'Lot: 1.01 acres', u'Single Family', u'Built in 2000', u'All time views: 8,139', u'HOA Fee: $17/mo', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Nov 2015 for $350,000', u'Last sale price/sqft: $83', u'Attic', u'Barbecue', u'Ceiling Fan', u'Deck', u'Disability Access', u'Dock', u'Double Pane/Storm Windows', u'Elevator', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Concrete, Laminate, Linoleum / Vinyl, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, Off street, On street, 2 spaces, 750 sqft garage', u'Patio', u'Porch', u'Security System', u'Storage', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Yard: over one acre', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Stucco, Vinyl, Wood', u'Roof type: Composition', u'Room count: 9', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 4,222 sqft', u'Heating: Propane butane', u'Laundry: In Unit', u'Zillow Home ID: 2109985498']	http://photos3.zillowstatic.com/p_e/IShn1g1ckqnzi61000000000.jpg	350000.0	[]	4222.0	NC	739788.0	27932	2109985498
1.0	2	Edenton	[u'Lot: 7,986 sqft', u'Single Family', u'Built in 2005', u'All time views: 1,308', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2015 for $45,500', u'Last sale price/sqft: $41', u'Cable Ready', u'Fireplace', u'Porch', u'Sewer: City Sewer', u'Roof: Architectural', u'Type & Style: One Story', u'Water: City Water', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Attic: Other', u'Range / Oven', u'Refrigerator', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,102 sqft', u'Heating: Gas', u'Parcel #: 780520706662', u'Zillow Home ID: 114801066']	http://photos2.zillowstatic.com/p_e/IS1bh7agym6mwm0000000000.jpg	45500.0	[]	1102.0	NC	78155.0	27932	114801066
2.0	3	Edenton	[u'Lot: 0.41 acres', u'Single Family', u'Built in 1962', u'All time views: 2,912', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Sep 2015 for $50,000', u'Last sale price/sqft: $43', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, Garage - Detached, 1 space', u'View: Water', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Storm Doors', u'Attic: Access Only', u'Appliances: None', u'Fenced Back Yard', u'Full Fence', u'Ownership Rights: Government Owned', u'Dishwasher', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,168 sqft', u'Heating: Gas', u'Parcel #: 697015542366', u'Zillow Home ID: 114799305']	http://photos3.zillowstatic.com/p_e/ISxrb7uebpj0ln1000000000.jpg	50000.0	[]	1168.0	NC	73818.0	27932	114799305
